subject,story,raw_score,sft_score,delta
sub-094,prettymouth,0.8759,0.9491,0.07320000000000004
sub-109,prettymouth,0.8919,0.9571,0.06519999999999992
sub-078,pieman,0.8948,0.9566,0.061799999999999966
sub-217,shapessocial,0.8865,0.9463,0.059800000000000075
sub-019,pieman,0.9032,0.9601,0.05689999999999995
sub-225,shapessocial,0.8953,0.952,0.05669999999999997
sub-320,notthefallintact,0.909,0.9592,0.05020000000000002
sub-330,notthefallintact,0.9161,0.9644,0.04830000000000001
sub-328,notthefallintact,0.9109,0.9568,0.04589999999999994
sub-044,pieman,0.9292,0.9703,0.041100000000000025
sub-063,pieman,0.9341,0.9738,0.03969999999999996
sub-075,pieman,0.7865,0.8042,0.01770000000000005
sub-149,merlin,0.7665,0.7811,0.014600000000000057
sub-147,sherlock,0.7844,0.7985,0.014100000000000001
sub-244,shapesphysical,0.7593,0.7731,0.013800000000000034
sub-275,bronx,0.8181,0.8315,0.013399999999999967
sub-075,sherlock,0.8093,0.8226,0.013299999999999979
sub-127,bronx,0.8389,0.8518,0.012900000000000023
sub-165,merlin,0.7909,0.8032,0.012299999999999978
sub-199,notthefalllongscram,0.8131,0.8253,0.012199999999999989
sub-163,merlin,0.7834,0.7956,0.012199999999999989
sub-279,piemanpni,0.7932,0.8051,0.011900000000000022
sub-127,forgot,0.8478,0.8596,0.011800000000000033
sub-295,piemanpni,0.8531,0.8647,0.011600000000000055
sub-177,merlin,0.757,0.7686,0.011599999999999944
sub-270,21styear,0.7932,0.8048,0.011599999999999944
sub-159,sherlock,0.7711,0.7824,0.011299999999999977
sub-141,notthefallintact,0.8202,0.8313,0.011099999999999999
sub-161,merlin,0.8266,0.8375,0.01090000000000002
sub-296,black,0.777,0.7879,0.01090000000000002
sub-284,bronx,0.812,0.8228,0.01079999999999992
sub-155,sherlock,0.8154,0.826,0.010599999999999943
sub-277,forgot,0.8227,0.8332,0.010500000000000065
sub-154,merlin,0.7941,0.8046,0.010499999999999954
sub-295,forgot,0.8622,0.8724,0.010199999999999987
sub-001,tunnel,0.9804,0.9905,0.010099999999999998
sub-161,sherlock,0.8061,0.8161,0.010000000000000009
sub-293,forgot,0.8169,0.8269,0.010000000000000009
sub-147,merlin,0.8604,0.8704,0.009999999999999898
sub-290,black,0.7875,0.7972,0.009700000000000042
sub-276,forgot,0.8326,0.8423,0.009700000000000042
sub-156,merlin,0.8143,0.824,0.009699999999999931
sub-163,sherlock,0.7968,0.8064,0.009600000000000053
sub-273,forgot,0.7691,0.7787,0.009599999999999942
sub-282,bronx,0.8174,0.8269,0.009499999999999953
sub-273,bronx,0.8138,0.8232,0.009400000000000075
sub-341,notthefallintact,0.8189,0.8283,0.009400000000000075
sub-096,notthefallshortscram,0.8364,0.8458,0.009399999999999964
sub-158,merlin,0.7557,0.7651,0.009399999999999964
sub-171,merlin,0.7694,0.7787,0.009299999999999975
sub-307,piemanpni,0.8339,0.8431,0.009199999999999986
sub-175,merlin,0.8325,0.8417,0.009199999999999986
sub-343,notthefallintact,0.9791,0.9882,0.009099999999999997
sub-168,merlin,0.7857,0.7948,0.009099999999999997
sub-176,sherlock,0.7941,0.8031,0.009000000000000008
sub-148,merlin,0.7908,0.7998,0.009000000000000008
