subject,story,brain_score
sub-001,tunnel,0.9804
sub-004,tunnel,0.7651
sub-005,tunnel,0.8818
sub-007,pieman,0.8547
sub-009,pieman,0.823
sub-013,tunnel,0.9767
sub-016,notthefallintact,0.9781
sub-016,notthefallshortscram,0.8634
sub-016,slumlordreach,0.9667
sub-017,pieman,0.8449
sub-018,pieman,0.9661
sub-019,pieman,0.9032
sub-020,pieman,0.8542
sub-021,pieman,0.9765
sub-022,lucy,0.8967
sub-022,pieman,0.9929
sub-022,tunnel,0.9664
sub-023,pieman,0.8495
sub-023,prettymouth,0.8275
sub-024,pieman,0.966
sub-025,pieman,0.9856
sub-025,tunnel,0.8645
sub-026,lucy,0.8656
sub-026,pieman,0.9592
sub-026,tunnel,0.8505
sub-027,pieman,0.8401
sub-028,pieman,0.9783
sub-029,pieman,0.836
sub-030,pieman,0.9714
sub-030,prettymouth,0.9343
sub-031,pieman,0.911
sub-032,pieman,0.8879
sub-032,prettymouth,0.852
sub-033,pieman,0.8647
sub-034,notthefallintact,0.8785
sub-034,notthefalllongscram,0.8611
sub-034,pieman,0.8775
sub-034,prettymouth,0.8775
sub-035,pieman,0.8832
sub-036,pieman,0.9706
sub-037,pieman,0.9923
sub-038,pieman,0.9815
sub-038,prettymouth,0.8671
sub-039,pieman,0.9887
sub-040,pieman,0.8902
sub-041,lucy,0.8549
sub-041,pieman,0.8282
sub-041,tunnel,0.8766
sub-042,pieman,0.8933
sub-043,pieman,0.977
sub-044,pieman,0.9292
sub-045,pieman,0.8375
sub-046,pieman,0.862
sub-047,pieman,0.9608
sub-048,pieman,0.9731
sub-049,pieman,0.9715
sub-049,shapesphysical,0.7472
sub-049,shapessocial,0.8532
sub-050,pieman,0.8617
sub-050,prettymouth,0.7902
sub-051,pieman,0.8867
sub-052,lucy,0.9167
sub-052,pieman,0.9838
sub-052,prettymouth,0.86
sub-052,tunnel,0.9616
sub-053,lucy,0.8751
sub-053,pieman,0.8767
sub-053,tunnel,0.8986
sub-054,pieman,0.9734
sub-055,lucy,0.9202
sub-055,pieman,0.9761
sub-055,tunnel,0.84
sub-056,lucy,0.9737
sub-056,pieman,0.8439
sub-056,tunnel,0.9492
sub-057,pieman,0.9822
sub-057,tunnel,0.9675
sub-058,lucy,0.9178
sub-058,pieman,0.9943
sub-058,shapesphysical,0.9526
sub-058,shapessocial,0.9756
sub-058,tunnel,0.9827
sub-059,lucy,0.8518
sub-059,pieman,0.8811
sub-059,tunnel,0.8762
sub-060,lucy,0.8618
sub-060,pieman,0.978
sub-060,tunnel,0.8452
sub-061,lucy,0.8441
sub-061,pieman,0.8463
sub-061,tunnel,0.9669
sub-062,pieman,0.9727
sub-062,tunnel,0.8239
sub-063,pieman,0.9341
sub-063,tunnel,0.8169
sub-064,pieman,0.8895
sub-064,tunnel,0.9111
sub-065,lucy,0.8346
sub-065,notthefallintact,0.9633
sub-065,notthefallshortscram,0.8705
sub-065,pieman,0.9782
sub-065,prettymouth,0.9685
sub-065,tunnel,0.9886
sub-066,lucy,0.951
sub-066,notthefallintact,0.98
sub-066,notthefalllongscram,0.9661
sub-066,pieman,0.9717
sub-066,prettymouth,0.9735
sub-066,tunnel,0.9612
sub-067,pieman,0.9956
sub-068,pieman,0.8576
sub-069,lucy,0.8321
sub-069,pieman,0.8297
sub-069,tunnel,0.9992
sub-070,pieman,0.9675
sub-071,pieman,0.9148
