subject,story,brain_score
sub-001,tunnel,0.9905
sub-004,tunnel,0.7672
sub-005,tunnel,0.8781
sub-007,pieman,0.8557
sub-009,pieman,0.8247
sub-013,tunnel,0.9768
sub-016,notthefallintact,0.9785
sub-016,notthefallshortscram,0.8711
sub-016,slumlordreach,0.9678
sub-017,pieman,0.8499
sub-018,pieman,0.9663
sub-019,pieman,0.9601
sub-020,pieman,0.8569
sub-021,pieman,0.978
sub-022,lucy,0.8969
sub-022,pieman,0.9927
sub-022,tunnel,0.9676
sub-023,pieman,0.8561
sub-023,prettymouth,0.8356
sub-024,pieman,0.967
sub-025,pieman,0.986
sub-025,tunnel,0.8695
sub-026,lucy,0.8677
sub-026,pieman,0.9014
sub-026,tunnel,0.852
sub-027,pieman,0.8419
sub-028,pieman,0.979
sub-029,pieman,0.8328
sub-030,pieman,0.9725
sub-030,prettymouth,0.9345
sub-031,pieman,0.9115
sub-032,pieman,0.8922
sub-032,prettymouth,0.8566
sub-033,pieman,0.8691
sub-034,notthefallintact,0.8828
sub-034,notthefalllongscram,0.8688
sub-034,pieman,0.8804
sub-034,prettymouth,0.8743
sub-035,pieman,0.8837
sub-036,pieman,0.9719
sub-037,pieman,0.9924
sub-038,pieman,0.9808
sub-038,prettymouth,0.8706
sub-039,pieman,0.9897
sub-040,pieman,0.894
sub-041,lucy,0.8586
sub-041,pieman,0.8351
sub-041,tunnel,0.8794
sub-042,pieman,0.8944
sub-043,pieman,0.9767
sub-044,pieman,0.9703
sub-045,pieman,0.842
sub-046,pieman,0.8632
sub-047,pieman,0.9619
sub-048,pieman,0.973
sub-049,pieman,0.9726
sub-049,shapesphysical,0.7448
sub-049,shapessocial,0.8437
sub-050,pieman,0.8642
sub-050,prettymouth,0.7885
sub-051,pieman,0.8889
sub-052,lucy,0.9156
sub-052,pieman,0.9842
sub-052,prettymouth,0.8602
sub-052,tunnel,0.964
sub-053,lucy,0.8792
sub-053,pieman,0.8814
sub-053,tunnel,0.9016
sub-054,pieman,0.9704
sub-055,lucy,0.9221
sub-055,pieman,0.9765
sub-055,tunnel,0.8347
sub-056,lucy,0.9744
sub-056,pieman,0.8461
sub-056,tunnel,0.9484
sub-057,pieman,0.9819
sub-057,tunnel,0.969
sub-058,lucy,0.9158
sub-058,pieman,0.9946
sub-058,shapesphysical,0.9511
sub-058,shapessocial,0.9753
sub-058,tunnel,0.9826
sub-059,lucy,0.857
sub-059,pieman,0.8791
sub-059,tunnel,0.8711
sub-060,lucy,0.8594
sub-060,pieman,0.9793
sub-060,tunnel,0.8465
sub-061,lucy,0.8396
sub-061,pieman,0.8494
sub-061,tunnel,0.9681
sub-062,pieman,0.972
sub-062,tunnel,0.8293
sub-063,pieman,0.9738
sub-063,tunnel,0.8163
sub-064,pieman,0.8905
sub-064,tunnel,0.9124
sub-065,lucy,0.8389
sub-065,notthefallintact,0.9638
sub-065,notthefallshortscram,0.876
sub-065,pieman,0.979
sub-065,prettymouth,0.9688
sub-065,tunnel,0.9881
sub-066,lucy,0.9516
sub-066,notthefallintact,0.9788
sub-066,notthefalllongscram,0.9659
sub-066,pieman,0.9724
sub-066,prettymouth,0.9742
sub-066,tunnel,0.9631
sub-067,pieman,0.9956
sub-068,pieman,0.8633
sub-069,lucy,0.8381
sub-069,pieman,0.8295
sub-069,tunnel,0.9992
sub-070,pieman,0.9687
sub-071,pieman,0.9181
sub-072,pieman,0.8942
sub-073,lucy,0.9116
sub-073,pieman,0.9695
sub-074,lucy,0.8887
