onset	duration	stimulus
3.85	0.14	This
21.46	0.19	is
21.66	0.28	Los
21.94	0.83	Angeles
22.81	0.15	and
22.96	0.16	it's
23.12	0.13	the
23.25	0.29	height
23.54	0.13	of
23.67	0.58	summer
24.51	0.13	in
24.64	0.08	a
24.72	0.42	small
25.14	0.6	bungalow
25.78	0.27	off
26.05	0.14	La
26.98	0.01	Sienaqa
27.21	0.44	Clara
27.65	0.43	serves
28.08	0.5	homemade
28.58	0.53	chilean
29.11	0.38	chips
29.49	0.17	and
29.66	0.21	red
29.87	0.52	plastic
30.39	0.6	bowls
31.25	0.45	wine
31.7	0.11	and
31.81	0.23	blue
32.04	0.77	plastic
33.1	0.13	The
33.23	0.43	colors
33.66	0.22	don't
33.88	0.35	match
34.23	0.04	and
34.31	0.1	the
34.41	0.35	cups
34.76	0.06	are
34.82	0.21	too
35.03	0.25	big
35.29	0.13	to
35.42	0.35	serve
35.77	0.51	wine
36.74	0.14	You
36.88	0.21	didn't
37.09	0.21	get
37.31	0.22	half
37.53	0.1	the
37.63	0.29	things
37.92	0.11	on
38.03	0.16	my
38.19	0.36	list
38.56	0.21	she
38.77	0.34	hisses
39.11	0.12	at
39.23	0.38	Gary
39.61	0.13	as
39.74	0.08	he
39.82	0.73	passes
40.84	0.12	He
41.69	0.01	shrugs
41.99	0.19	No
42.18	0.2	one
42.38	0.31	seems
42.69	0.14	to
42.83	0.34	mind
43.17	0.16	but
43.33	0.44	her
44.2	0.2	Did
44.4	0.07	you
44.47	0.19	have
44.66	0.09	to
44.75	0.25	buy
45.0	0.07	a
45.85	0.01	400
45.86	0.28	bottle
46.21	0.78	scotch
47.17	0.41	Gary
47.58	0.33	waves
47.91	0.33	away
48.24	0.15	her
48.39	0.61	upset
49.23	0.18	He
49.41	0.36	seems
49.77	1.02	distracted
50.93	0.4	guilty
51.33	0.13	of
51.46	0.66	something
52.41	0.17	She
52.58	0.14	can
52.72	0.25	tell
52.97	0.13	by
53.1	0.12	the
53.22	0.22	way
53.44	0.12	he
53.56	0.44	avoids
54.0	0.44	her
54.86	0.42	Clara
55.28	0.23	looks
55.51	0.1	at
55.61	0.13	her
55.74	0.46	face
56.21	0.1	in
56.31	0.09	the
56.4	0.42	hallway
56.82	0.54	mirror
57.45	0.2	She's
58.12	0.03	33
58.15	0.3	years
58.45	0.54	old
59.06	0.22	She's
59.28	0.42	slowly
59.7	0.32	getting
60.02	0.25	white
60.27	0.48	hairs
60.75	0.12	in
60.87	0.17	her
61.04	0.91	eyebrows
62.22	0.22	She
62.44	0.54	feels
63.0	0.78	completely
63.8	0.7	alone
65.03	0.3	Grad
65.33	0.39	students
65.72	0.19	fill
65.91	0.1	the
66.01	0.22	low
66.23	0.41	ceiling
66.64	0.56	space
67.2	0.42	chewing
67.63	0.24	big
67.88	0.46	words
68.34	0.94	gesticulating
69.28	0.9	emphatically
70.81	0.01	Gary's
70.82	0.42	face
71.24	0.21	looks
71.45	0.13	up
71.58	0.14	from
71.72	0.1	the
71.82	0.38	photo
72.2	0.22	his
72.42	0.39	parents
72.81	0.15	have
72.96	0.28	framed
73.53	0.65	expensive
74.19	0.79	mahogany
75.2	0.15	He
75.35	0.31	laid
75.66	0.15	it
75.98	0.79	graduating
76.78	0.39	capping
77.17	0.3	down
77.47	0.14	and
77.61	0.4	all
78.18	0.39	Toast
78.82	0.27	more
79.09	0.73	toast
80.03	0.15	to
80.18	0.11	our
80.29	0.4	doctor
80.77	0.84	philosophy
81.64	0.49	amazing
82.13	0.2	art
83.04	0.01	prodigy
83.06	0.14	to
83.2	0.41	Gary
83.62	0.01	Loisin
85.7	0.01	Clara's
85.72	0.53	carefully
86.25	0.37	picked
86.63	0.42	happy
87.05	0.79	graduation
87.84	0.34	vapor
88.18	0.64	banners
89.06	0.29	hanging
89.35	0.2	too
89.55	0.27	low
89.82	0.19	from
90.01	0.15	the
90.16	0.47	Adobe
90.63	0.63	doors
