onset	duration	stimulus
0.24	0.39	So
0.68	0.58	I
1.96	0.34	was
2.3	0.15	a
2.46	0.68	junior
3.14	0.27	in
3.41	0.79	college
4.79	0.23	when
5.02	0.07	I
5.09	0.24	got
5.35	0.24	my
5.61	0.73	first
7.11	0.55	paying
7.66	0.64	job
8.65	0.28	in
8.93	0.27	my
9.21	0.78	field
10.29	0.21	on
10.5	0.12	the
10.62	0.74	radio
11.82	0.15	This
11.97	0.12	is
12.09	0.23	not
12.32	0.11	an
12.43	0.96	internship
13.83	0.21	I'm
14.04	0.33	getting
14.37	0.08	a
14.45	0.58	check
16.51	0.19	It
16.7	0.17	was
16.87	0.1	a
17.01	0.38	country
17.39	0.12	in
17.51	0.4	Western
17.91	0.4	radio
18.31	0.57	station
20.77	0.19	And
20.96	0.19	my
21.15	0.43	job
21.59	0.25	though
21.84	0.1	it
21.95	0.23	was
22.18	0.53	only
22.98	0.2	on
23.18	0.11	the
23.29	0.81	weekends
24.58	0.26	was
24.84	0.15	to
24.99	0.7	play
26.05	0.17	the
26.22	0.48	top
26.91	0.52	country
27.43	0.58	hits
28.35	0.27	of
28.62	0.09	the
28.71	0.52	week
29.85	0.32	Each
30.17	0.59	Sunday
31.44	0.14	It
31.58	0.55	actually
32.15	0.52	came
32.67	0.16	on
32.83	0.11	an
32.94	0.58	album
34.05	0.18	pre
34.23	0.5	recorded
35.54	0.28	So
35.86	0.25	I
36.12	0.25	had
36.37	0.29	to
36.78	0.25	take
37.03	0.11	it
37.14	0.12	out
37.26	0.14	of
37.4	0.09	the
37.49	0.85	sleeve
39.84	0.24	and
40.09	0.19	put
40.28	0.11	it
40.39	0.13	on
40.52	0.1	the
40.63	0.59	turntable
41.22	0.27	just
41.49	0.36	so
42.69	0.19	And
42.88	0.16	put
43.04	0.12	the
43.16	0.4	needle
43.56	0.64	down
44.64	0.24	on
44.88	0.44	side
45.32	0.5	one
46.29	0.59	carrying
47.54	0.23	not
47.82	0.36	scratch
48.18	0.19	it
49.56	0.21	And
49.77	0.16	then
49.93	0.2	let
50.13	0.26	Park
50.4	0.21	One
50.61	0.38	play
52.23	0.21	My
52.44	0.37	moment
52.81	0.15	is
52.98	0.45	coming
53.43	0.39	now
54.85	0.29	Yes
55.14	0.15	all
55.29	0.09	the
55.38	0.46	training
55.84	0.17	it's
56.01	0.37	coming
56.38	0.3	now
56.93	0.23	When
57.16	0.46	side
57.62	0.29	one
57.91	0.19	would
58.1	0.46	end
58.91	0.16	I
59.08	0.28	had
59.36	0.25	to
59.75	0.65	lift
60.5	0.21	the
60.71	0.41	needle
63.57	0.18	And
63.75	0.23	here's
63.98	0.15	my
64.13	0.47	moment
65.89	0.14	I
66.03	0.2	get
66.23	0.12	to
66.35	0.34	read
66.69	0.1	the
66.79	0.32	weather
67.11	0.66	live
67.82	0.19	for
68.01	0.6	Jefferson
68.61	0.31	City
68.99	0.54	Missouri
75.11	0.24	Then
75.35	0.1	I
75.46	0.28	played
75.74	0.6	commercials
76.34	0.19	And
76.53	0.53	while
77.07	0.16	the
77.25	0.62	commercials
77.87	0.14	were
78.01	0.33	playing
78.34	0.15	I
78.5	0.26	had
78.76	0.25	to
79.29	0.54	flip
79.96	0.24	the
80.2	0.66	album
81.79	0.2	put
81.99	0.14	it
82.28	0.36	back
82.7	0.44	down
83.14	0.15	on
83.29	0.11	the
83.41	0.77	turntable
84.36	0.18	put
84.54	0.1	the
84.64	0.36	needle
85.01	0.26	back
85.33	0.32	down
85.65	0.29	now
85.95	0.27	on
86.23	0.72	side
86.97	0.81	two
88.37	0.19	and
88.56	0.3	let
88.96	0.3	Park
89.27	0.42	Two
89.78	0.17	of
89.95	0.05	the
90.0	0.25	top
90.27	0.33	country
90.6	0.43	hits
91.23	0.19	of
91.42	0.07	the
91.49	0.2	week
91.69	0.4	play
92.94	0.17	You
93.11	0.11	know
93.22	0.16	when
93.38	0.14	you're
93.52	0.32	getting
93.84	0.09	a
93.94	0.74	degree
94.79	0.2	in
94.99	1.07	communications
96.06	0.24	or
96.77	1.16	broadcasting
98.24	0.19	they
98.43	0.36	teach
98.79	0.34	you
99.22	0.21	all
99.43	0.57	kinds
100.0	0.2	of
100.2	0.66	stuff
101.3	0.23	but
101.53	0.19	they
101.72	0.26	do
101.98	0.33	not
102.31	0.35	teach
102.66	0.37	you
103.57	0.37	how
103.97	0.16	to
104.13	0.28	flip
104.41	0.11	an
104.52	0.6	album
106.66	0.23	In
106.89	0.32	record
107.21	0.67	time
108.48	0.44	before
108.92	0.12	the
109.06	0.47	commercial
109.53	0.33	break
109.86	0.76	ends
111.69	0.26	my
111.95	0.64	career
112.59	0.18	would
112.77	0.61	eventually
113.39	0.27	bring
113.66	0.19	me
113.86	0.76	here
115.16	0.2	to
115.36	0.27	St
115.63	0.62	Louis
118.1	0.27	It's
118.38	0.18	the
118.56	0.93	largest
119.49	0.59	market
120.43	0.21	I
120.64	0.11	had
120.75	0.2	ever
120.95	0.25	been
121.2	0.44	in
122.18	0.4	I
122.59	0.29	was
122.88	1.17	excited
124.41	0.28	and
124.69	0.17	I
124.87	0.25	was
125.15	1.2	nervous
127.17	0.21	And
127.38	0.29	so
127.7	0.28	I
127.98	0.67	am
129.07	0.5	trying
129.57	0.14	to
129.71	0.17	get
129.88	0.11	to
129.99	0.16	know
130.15	0.11	the
130.26	0.75	community
131.67	0.14	And
131.81	0.13	so
131.94	0.13	I'm
132.07	0.28	going
132.37	0.24	to
132.62	0.55	every
133.17	0.81	fundraiser
133.98	0.21	and
134.21	0.48	every
134.69	0.4	event
135.09	0.11	I
135.2	0.21	can
135.42	0.25	think
135.67	0.41	of
136.65	0.17	And
136.82	0.34	after
137.16	0.24	one
137.4	0.13	of
137.53	0.25	those
137.78	0.71	events
138.71	0.15	I
138.86	0.46	promise
139.32	0.1	you
139.42	0.07	it
139.49	0.14	was
139.63	0.44	actually
140.07	0.54	here
140.98	0.21	at
141.19	0.11	the
141.3	0.69	Sheldon
142.18	0.22	in
142.4	0.32	St
142.72	0.33	Louis
143.09	0.64	Missouri
144.05	0.08	A
144.13	0.32	young
144.45	0.23	man
144.68	0.6	approached
145.28	0.17	me
145.49	0.87	outside
146.38	0.21	on
146.59	0.13	the
146.72	0.79	sidewalk
147.95	0.16	He
148.11	0.18	was
148.29	0.52	black
149.76	0.15	And
149.91	0.11	he
150.03	0.3	said
150.33	0.15	to
150.48	0.42	me
152.11	0.26	I
152.37	0.47	knew
152.85	0.19	you
153.04	0.12	were
153.16	0.52	black
158.55	0.48	Now
164.11	0.27	keep
164.71	0.15	in
164.86	0.64	mind
166.37	0.06	that
166.6	0.12	I
166.87	0.29	had
167.17	0.7	heard
168.1	0.23	pretty
168.33	0.26	much
168.59	0.16	my
168.75	0.24	whole
168.99	0.35	adult
169.34	0.58	life
170.26	0.26	You
170.52	0.31	sound
170.83	0.54	white
171.52	0.24	I'd
171.76	0.31	heard
172.07	0.47	that
173.01	0.24	I'd
173.25	0.46	heard
174.13	0.21	oh
174.34	0.21	you
174.55	0.29	sound
174.84	0.44	white
176.53	0.16	You
176.69	0.22	sound
176.91	0.11	like
177.02	0.06	a
177.08	0.21	white
177.29	0.33	girl
177.65	0.23	I'd
177.88	0.35	heard
178.23	0.49	that
179.07	0.16	but
179.23	0.17	I
179.41	0.26	had
179.68	0.83	never
180.56	0.54	ever
181.27	0.74	heard
182.78	0.16	I
182.94	0.21	knew
183.16	0.15	you
183.31	0.1	were
183.41	0.54	black
187.1	0.38	So
187.48	0.22	he
187.7	0.52	tells
188.22	0.17	me
188.39	0.44	about
189.08	0.23	this
189.33	0.46	debate
189.83	0.68	apparently
190.51	0.17	that
190.68	0.16	had
190.84	0.17	been
191.01	0.33	going
191.34	0.33	on
191.69	0.24	in
191.93	0.33	St
192.26	0.64	Louis
194.85	0.29	When
195.14	0.15	I
195.29	0.32	first
195.61	0.53	started
196.14	0.52	here
197.75	0.62	people
198.4	0.32	told
198.72	0.36	him
199.12	0.15	oh
199.27	0.4	no
199.69	0.2	no
199.89	0.23	she's
200.12	0.28	white
200.4	0.3	man
200.7	0.23	she's
200.93	0.23	white
201.17	0.17	She
201.34	0.34	sounds
201.68	0.26	white
201.94	0.21	She's
202.15	0.52	white
203.48	0.22	And
203.7	0.58	he
204.32	1.02	convinced
205.98	0.29	having
206.27	0.19	never
206.46	0.22	met
206.68	0.36	me
207.7	0.21	that
207.91	0.08	I
207.99	0.19	was
208.18	0.53	black
209.71	0.21	Well
209.94	0.2	as
210.14	0.12	it
210.26	0.33	turns
210.59	0.52	out
211.22	0.2	he
211.42	0.19	was
211.61	0.48	right
215.0	0.23	I
215.99	0.17	am
216.16	0.56	black
218.07	0.15	But
218.22	0.18	this
218.4	0.34	whole
218.75	0.54	debate
219.29	0.34	sort
219.63	0.35	of
220.38	0.42	messed
220.8	0.17	with
220.97	0.19	my
221.16	0.47	head
221.63	0.07	a
221.7	0.26	little
221.96	0.46	bit
222.8	0.16	I
222.96	0.3	thought
223.26	0.3	here
223.56	0.12	I
223.68	0.51	am
224.2	0.59	major
224.8	0.79	market
225.9	0.87	fantastic
226.78	0.48	job
227.27	0.13	of
227.4	0.22	my
227.62	1.02	dreams
229.1	0.16	And
229.26	0.33	people
229.59	0.34	still
229.93	0.27	don't
230.21	0.49	know
230.72	0.28	who
231.0	0.21	I
231.24	0.45	am
232.03	0.44	all
232.49	0.18	of
232.67	0.2	who
232.87	0.17	I
233.06	0.47	am
234.71	0.3	So
235.01	0.13	I
235.15	0.76	hatch
236.85	0.15	the
237.0	0.38	secret
237.38	0.65	plan
239.02	0.21	this
239.23	0.63	mission
240.68	0.09	I
240.77	0.16	didn't
240.93	0.16	tell
241.09	0.4	anybody
241.49	0.32	about
241.81	0.24	it
242.49	0.2	I
242.69	0.17	am
242.86	0.37	going
243.23	0.15	to
243.38	0.23	start
243.62	0.4	dropping
244.02	0.28	hints
244.3	0.11	on
244.41	0.11	the
244.53	0.42	air
248.29	0.23	So
248.52	0.54	people
249.87	0.12	will
249.99	0.49	know
250.54	0.25	who
251.03	0.11	I
251.14	0.48	am
252.65	0.18	And
252.83	0.15	so
252.98	0.22	my
253.2	0.45	first
253.65	0.57	hint
254.73	0.23	is
254.97	0.32	me
255.29	0.6	discussing
255.89	0.13	an
256.03	0.5	article
256.57	0.33	I'd
256.9	0.52	read
257.66	0.24	in
257.94	0.45	Essence
258.39	0.73	magazine
261.64	0.38	Anybody
262.11	0.47	Essence
262.61	0.34	Yes
262.98	0.15	you
263.13	0.22	get
263.35	0.15	it
264.35	0.35	Essence
264.7	0.5	magazine
265.29	0.47	course
266.02	0.36	TARGUS
266.38	0.35	African
266.73	0.35	American
267.08	0.27	women
267.35	0.15	And
267.5	0.22	so
267.72	0.12	I
267.87	0.22	think
268.09	0.51	surely
268.6	0.2	now
268.8	0.18	they
268.98	0.21	know
269.34	0.23	they
269.57	0.58	know
270.61	0.15	they
270.76	0.25	got
271.07	0.25	know
271.32	0.5	now
272.01	0.45	debate
272.47	0.23	put
272.7	0.18	to
272.88	0.71	arrest
275.0	0.28	So
275.33	0.19	I
275.52	0.21	am
275.73	0.53	now
276.27	0.37	all
276.64	0.35	about
277.0	0.59	town
277.59	0.18	and
277.98	0.27	people
278.25	0.04	are
278.29	0.35	beginning
278.64	0.13	to
278.77	0.53	recognize
279.32	0.16	me
279.48	0.43	just
279.92	0.29	from
280.21	0.18	my
280.39	0.77	voice
281.93	0.21	I'm
282.14	0.16	at
282.3	0.13	the
282.44	0.49	grocery
282.93	0.84	store
284.12	0.21	I'm
284.34	0.44	chasing
284.78	0.15	my
284.93	0.26	kids
285.19	0.11	at
285.3	0.1	the
285.4	0.27	St
285.67	0.27	Louis
285.94	0.46	Zoo
286.41	0.41	yelling
286.82	0.14	at
286.96	0.37	them
287.34	0.33	people
287.67	0.07	are
287.74	0.98	recognizing
288.97	0.27	my
289.24	0.7	voice
291.23	0.2	I'm
291.5	0.23	drop
291.73	0.27	another
292.0	0.46	hint
292.61	0.18	on
292.79	0.13	the
292.92	0.41	air
293.97	0.14	I'm
294.11	0.33	enjoying
294.44	0.09	the
294.53	0.29	secret
294.82	0.42	mission
296.43	0.22	And
296.65	0.57	so
297.46	0.27	I
297.77	0.9	describe
298.67	0.54	trying
299.21	0.47	to
300.02	0.37	make
300.4	0.3	my
300.7	0.65	mother's
301.39	0.51	collard
301.9	0.76	greens
306.23	0.47	Boom
309.09	0.17	They
309.26	0.26	got
309.57	0.31	know
311.15	0.27	They
311.43	0.31	got
311.88	0.18	to
312.06	0.31	know
312.37	0.48	now
313.65	0.24	that
313.89	0.13	I'm
314.02	0.06	a
314.08	0.3	black
314.38	0.41	woman
316.47	0.31	One
316.78	0.17	day
316.95	0.13	at
317.08	0.16	one
317.24	0.1	of
317.34	0.2	these
317.54	0.29	many
317.83	0.52	events
318.35	0.14	in
318.49	0.75	education
319.26	0.49	panel
319.77	0.69	discussion
320.46	0.29	after
320.75	0.23	it's
320.98	0.44	over
321.42	0.16	I'm
321.87	0.15	in
322.02	0.07	a
322.09	0.3	small
322.39	0.19	group
322.58	0.1	of
322.68	0.4	people
323.08	0.09	and
323.17	0.15	we
323.32	0.1	are
323.42	0.57	talking
325.43	0.19	And
325.62	0.21	an
325.92	0.42	older
326.34	0.21	white
326.56	0.44	gentleman
327.0	0.29	walks
327.29	0.18	up
327.47	0.15	to
327.62	0.36	me
328.87	0.16	And
329.03	0.14	he
329.17	0.67	says
330.57	0.22	you
330.79	0.34	speak
331.13	0.6	well
331.74	0.25	for
331.99	0.14	your
332.18	0.49	people
337.1	0.13	I
337.23	0.19	could
337.42	0.48	feel
337.97	0.22	what
338.19	0.17	you
338.36	0.23	just
338.59	0.52	said
340.18	0.11	I
340.29	0.2	could
340.68	0.3	feel
340.98	0.31	it
341.54	0.22	in
341.76	0.22	my
341.99	0.69	stomach
342.67	1.02	rising
344.24	0.16	to
344.4	0.18	my
344.58	0.78	heart
345.84	0.21	to
346.05	0.24	my
346.29	0.7	throat
347.04	0.17	And
347.21	0.12	I
347.34	0.26	said
347.6	0.13	to
347.73	0.37	him
349.58	0.19	well
349.77	0.17	what
349.94	0.37	people
350.31	0.06	are
350.37	0.11	you
350.48	0.51	referring
350.99	0.39	to
352.48	0.25	Now
353.4	0.16	I
353.56	0.25	knew
353.81	0.19	what
354.0	0.1	he
354.1	0.34	meant
356.14	0.1	We
356.58	0.11	all
356.69	0.22	know
356.91	0.23	what
357.15	0.18	he
357.33	0.18	meant
358.84	0.16	But
359.0	0.1	I
359.11	0.36	wanted
359.47	0.46	him
360.04	0.19	to
360.23	0.31	say
360.54	0.12	it
360.69	0.14	out
360.83	0.1	of
360.93	0.13	his
361.07	0.16	own
361.27	0.25	mouth
361.52	0.03	I
361.55	0.24	wanted
361.79	0.12	him
361.91	0.11	to
362.02	0.41	say
362.43	0.34	it
363.45	0.21	And
363.66	0.17	he
363.83	0.32	said
364.15	0.22	it
366.13	0.17	You
366.3	0.33	know
367.15	0.43	people
369.21	0.28	So
369.49	0.65	now
370.27	0.24	it's
370.51	0.26	really
370.77	0.59	gurgling
371.73	0.17	It
371.9	0.13	is
372.03	0.52	threatening
372.55	0.16	to
372.72	0.28	come
373.01	0.8	spewing
373.87	0.17	out
374.04	0.14	of
374.18	0.2	my
374.38	0.42	mouth
375.12	0.26	I
375.38	0.65	am
376.27	1.12	embarrassed
377.5	0.34	because
377.86	0.4	people
378.26	0.15	are
378.73	0.59	standing
379.32	0.5	around
379.82	0.28	and
380.26	0.24	they're
380.55	0.54	hearing
381.09	0.62	this
382.16	0.19	And
382.35	0.16	I'm
382.51	0.64	angry
383.99	0.22	How
384.22	0.33	dare
384.55	0.23	he
384.79	0.61	diminish
385.42	0.4	me
387.34	0.23	And
387.57	0.44	I'm
388.06	0.92	indignant
389.31	0.52	even
390.38	0.1	And
390.48	0.29	before
390.77	0.06	I
390.83	0.16	could
390.99	0.29	say
391.28	0.39	another
391.67	0.76	word
392.64	0.42	he
393.06	0.41	says
