onset	duration	stimulus
15.2	0.2	When
15.4	0.06	I
15.46	0.2	get
15.66	0.02	the
15.83	0.41	batons
16.25	0.02	we're
16.49	0.13	the
16.62	0.39	anchor
17.01	0.43	layer
18.3	0.14	the
18.86	0.2	that's
19.06	0.09	a
19.15	0.31	race
19.46	0.13	you
19.59	0.2	run
19.79	0.26	on
20.26	0.01	a
20.27	0.3	track
20.79	0.19	are
21.18	0.43	five
21.85	0.44	yards
22.45	0.33	behind
22.89	0.12	Vince
25.41	0.34	race
25.75	0.02	is
26.76	0.44	over
27.39	0.15	You
27.54	0.15	can
27.69	0.18	have
27.87	0.08	a
28.1	0.34	hundred
28.5	0.35	yarder
29.22	0.2	on
29.93	0.16	Nitorelli
30.49	0.14	And
30.63	0.17	over
30.8	0.07	the
30.87	0.27	course
31.15	0.14	of
31.29	0.06	a
31.35	0.46	mile
31.95	0.18	he
32.13	0.2	would
32.33	0.48	really
32.81	0.14	win
33.41	0.25	he
33.87	0.03	would
33.9	0.19	pass
34.88	0.18	he
35.07	0.2	would
35.28	0.4	win
36.37	0.1	He
36.47	0.15	is
36.67	0.11	the
36.95	0.29	best
37.79	0.26	high
38.05	0.41	school
38.48	0.29	middle
38.8	0.1	distance
39.2	0.43	runner
39.83	0.09	in
39.93	0.1	the
40.03	0.46	Northeast
40.55	0.31	United
40.86	0.08	States
41.92	0.18	His
42.15	0.63	nickname
43.63	0.02	is
43.78	0.49	Machille
45.57	0.11	he
45.68	0.23	runs
45.91	0.13	like
46.04	0.08	a
46.14	0.53	cyborg
46.67	0.11	and
46.78	0.15	he
46.97	0.32	never
47.29	0.2	gets
47.61	0.37	tired
48.91	0.63	Everyone
49.56	0.18	there's
49.74	0.24	about
50.12	0.1	300
50.43	0.28	people
50.72	0.16	that
50.89	0.37	stands
51.43	0.08	the
51.51	0.26	track
51.77	0.16	that
51.93	0.21	day
52.17	0.46	everyone
52.63	0.28	knows
53.66	0.34	that
55.44	0.07	he
55.72	0.27	no
55.99	0.38	chance
56.78	0.2	of
56.98	0.28	being
57.44	0.05	beaten
58.67	0.3	Except
59.02	0.43	one
59.45	0.33	guy
60.34	0.37	one
60.71	0.18	guy
60.93	0.14	thinks
61.27	0.72	maybe
63.04	0.04	he
63.28	0.03	can
63.31	0.02	be
63.33	0.05	beaten
64.01	0.19	And
64.2	0.2	that's
64.43	0.12	the
64.55	0.49	guy
65.79	0.12	there's
66.02	0.15	no
66.17	0.29	better
67.37	0.07	There's
67.44	0.06	the
67.5	0.21	guy
67.71	0.17	with
68.03	0.01	a
68.15	0.36	baton
69.11	0.06	there's
69.34	0.27	five
69.61	0.27	yards
70.46	0.26	behind
70.72	0.05	him
71.53	0.47	Why
74.06	0.08	Why
74.14	0.18	did
74.32	0.12	I
74.49	0.23	think
74.73	0.18	that
74.92	0.2	It's
75.16	0.36	weird
75.54	0.38	because
75.93	0.16	I'm
76.09	0.18	not
76.27	0.13	even
76.43	0.12	the
76.55	0.27	best
76.82	0.37	runner
77.19	0.31	on
77.5	0.16	my
77.7	0.12	high
77.82	0.26	school
78.13	0.3	team
78.69	0.22	That's
78.91	0.06	a
78.97	0.24	guy
79.23	0.23	named
79.49	0.26	Tom
79.76	0.27	Nomad
81.13	0.03	But
81.43	0.06	he's
81.55	0.18	been
81.75	0.43	injured
82.98	0.17	So
83.15	0.25	I've
83.4	0.21	known
83.61	0.17	for
83.78	0.27	about
84.05	0.07	a
84.12	0.4	month
84.75	0.19	that
84.95	0.2	I'll
85.15	0.14	be
85.29	0.37	running
85.66	0.19	this
85.89	0.33	anchor
