onset	duration	stimulus
0.85	0.11	It's
1.13	0.07	a
1.2	0.57	story
2.21	0.17	that
2.38	0.08	I
2.46	0.54	wrote
3.97	0.57	called
5.37	0.12	The
5.49	0.51	Man
6.75	0.15	Who
6.93	0.65	Forgot例えば
8.4	0.02	Le
8.43	0.29	Berber
9.54	0.14	And
9.68	0.08	I
9.76	0.31	wrote
10.07	0.43	it
10.59	0.16	as
10.75	0.06	a
10.82	0.4	birthday
11.22	0.66	present
12.57	0.16	for
12.73	0.38	Rey
13.72	0.15	on
13.87	0.18	his
14.05	0.95	91st
15.0	0.41	birthday
17.31	0.14	It
17.45	0.39	begins
17.84	0.22	like
18.21	0.26	this
21.29	0.01	I
21.47	0.14	am
21.61	0.53	forgetting
22.14	0.5	things
23.76	0.26	which
24.02	0.44	scares
24.5	0.23	me
26.33	0.13	I
26.46	0.14	am
26.6	0.37	losing
26.97	0.68	words
27.8	0.35	although
28.15	0.04	I
28.19	0.11	am
28.3	0.19	not
28.49	0.32	losing
28.82	0.8	concepts
30.25	0.18	I
30.43	0.35	hope
31.15	0.19	that
31.34	0.02	I
31.36	0.1	am
31.46	0.12	not
31.6	0.3	losing
31.9	0.73	concepts
33.34	0.2	If
33.54	0.08	I
33.62	0.18	am
33.8	0.29	losing
34.09	0.57	concepts
34.72	0.13	I
34.85	0.1	am
34.95	0.15	not
35.11	0.3	aware
35.41	0.11	of
35.52	0.26	it
35.82	0.2	If
36.02	0.08	I
36.1	0.14	am
36.24	0.29	losing
36.53	0.44	concepts
36.97	0.18	how
37.15	0.16	would
37.31	0.1	I
37.41	0.36	know
39.14	0.21	Which
39.35	0.12	is
39.47	0.4	funny
40.44	0.34	because
40.8	0.15	my
40.95	0.34	memory
41.29	0.15	was
41.44	0.24	always
41.69	0.2	so
41.89	0.43	good
43.3	0.44	Everything
43.74	0.13	was
43.87	0.15	in
44.02	0.32	there
44.67	0.54	Sometimes
45.21	0.15	my
45.36	0.34	memory
45.7	0.2	was
45.91	0.24	so
46.15	0.27	good
46.43	0.18	that
46.62	0.14	I
46.76	0.29	even
47.08	0.36	thought
47.73	0.16	that
47.89	0.07	I
47.96	0.19	could
48.15	0.36	remember
48.51	0.36	things
48.92	0.09	I
49.01	0.24	didn't
49.25	0.2	know
49.45	0.58	yet
50.9	0.49	remembering
51.39	0.56	forward
53.72	0.09	I
53.81	0.22	don't
54.03	0.27	think
54.3	0.04	there
54.46	0.07	a
54.53	0.27	word
54.8	0.12	for
54.92	0.23	that
55.41	0.2	is
55.61	0.25	there
56.45	0.48	remembering
56.95	0.25	things
57.2	0.05	that
57.26	0.29	haven't
57.56	0.34	happened
57.9	0.43	yet
59.15	0.09	I
59.24	0.21	don't
59.46	0.21	have
59.67	0.15	that
59.86	0.46	feeling
60.32	0.09	I
60.42	0.21	get
60.65	0.17	when
60.82	0.06	I
60.88	0.17	go
61.05	0.35	looking
61.4	0.1	in
61.5	0.19	my
61.69	0.24	head
61.93	0.12	for
62.05	0.09	a
62.14	0.47	word
63.03	0.15	that
63.18	0.28	isn't
63.46	0.37	there
64.08	0.14	as
64.22	0.33	if
64.84	0.34	someone
65.18	0.21	must
65.39	0.12	have
65.52	0.22	come
65.74	0.15	and
65.9	0.39	taken
66.29	0.11	it
66.49	0.13	the
66.62	0.46	night
68.95	0.18	When
69.13	0.06	I
69.19	0.17	was
69.36	0.07	a
69.43	0.24	young
69.67	0.29	man
70.9	0.1	I
71.0	0.21	lived
71.21	0.1	in
71.31	0.05	a
71.36	0.3	big
71.66	0.47	shared
72.14	0.68	house
73.81	0.09	I
73.9	0.15	was
74.05	0.08	a
74.13	0.5	student
74.67	0.31	then
75.76	0.17	We
75.93	0.13	had
76.06	0.12	our
76.18	0.17	own
76.37	0.59	shelves
76.97	0.11	in
