onset	duration	stimulus
6.46	0.47	Chandler
6.93	0.1	and
7.04	0.4	Monica
7.45	0.31	walked
7.76	0.16	into
7.92	0.14	the
8.06	0.47	airport
8.54	0.37	hand
8.91	0.13	in
9.04	0.52	hand
9.62	0.32	pulling
9.94	0.16	their
10.1	0.66	suitcases
10.76	0.42	behind
11.19	0.24	them
12.09	0.38	See
12.52	0.35	honey
13.04	0.23	No
13.27	0.46	problem
13.73	0.24	getting
13.97	0.05	a
14.02	0.46	cab
14.57	0.24	No
14.85	0.6	traffic
15.48	0.25	My
15.73	0.42	way
16.2	0.52	totally
16.72	0.57	works
17.56	0.42	Smile
17.99	0.5	Chandler
18.98	0.36	Monica
19.34	0.17	took
19.51	0.05	a
19.56	0.22	deep
19.79	0.41	breath
20.46	0.14	I
20.6	0.54	know
21.14	0.11	I
21.29	0.23	know
21.52	0.16	we
21.68	0.15	have
21.83	0.3	plenty
22.13	0.11	of
22.24	0.36	time
22.6	0.08	I
22.68	0.16	am
23.14	0.37	totally
23.51	0.56	relaxed
24.11	0.41	totally
24.52	0.52	calm
25.86	0.37	Suddenly
26.23	0.15	her
26.38	0.36	eyes
26.76	0.19	grew
26.95	0.38	wide
27.33	0.09	as
27.42	0.18	she
27.6	0.24	saw
27.84	0.11	the
27.95	0.36	line
28.31	0.13	for
28.45	0.4	airport
28.85	0.5	security
29.38	0.55	Landing
29.94	0.13	in
30.07	0.06	a
30.13	0.53	lengthy
30.66	0.51	tangle
31.17	0.12	that
31.3	0.44	stretched
31.75	0.3	all
32.05	0.15	the
32.21	0.25	way
32.46	0.32	around
32.78	0.11	the
32.89	0.35	corner
33.81	0.38	Monica
34.2	0.43	scurried
34.63	0.22	toward
34.85	0.09	the
34.94	0.14	end
35.08	0.1	of
35.18	0.08	the
35.26	0.35	line
35.61	0.17	with
35.78	0.5	Chandler
36.28	0.51	following
36.79	0.55	behind
37.35	0.01	'We'll
38.52	0.14	be
38.66	0.73	fine
39.4	0.2	he
39.61	0.25	said
39.86	0.1	as
39.96	0.12	he
40.08	0.23	caught
40.31	0.13	up
40.44	0.11	to
40.55	0.24	her
41.26	0.28	We've
41.54	0.25	still
41.79	0.2	got
41.99	0.25	time
42.24	0.07	to
42.31	0.21	make
42.52	0.17	our
42.69	0.39	flight
43.09	0.21	Just
43.3	0.23	think
43.53	0.2	about
43.73	0.18	how
43.91	0.68	relaxing
44.59	0.13	it's
44.72	0.18	going
44.9	0.05	to
44.95	0.15	be
45.1	0.3	once
45.4	0.17	we're
45.57	0.21	on
45.78	0.11	the
45.9	0.21	way
46.11	0.15	to
46.26	0.2	our
46.46	0.53	honeymoon
47.29	0.68	Hamacs
48.06	0.26	pin
48.32	0.15	your
48.47	0.68	colladas
49.61	0.13	He
49.74	0.3	started
50.04	0.08	to
50.12	0.34	sway
50.46	0.17	his
50.63	0.31	hips
50.94	0.19	from
51.13	0.3	side
51.44	0.11	to
51.55	0.46	side
52.5	0.84	Bermuda
53.35	0.01	Baha
53.54	0.38	ma
54.76	0.61	come
55.37	0.16	on
55.53	0.52	pretty
56.06	0.59	mama
57.23	0.37	Monica
57.6	0.34	perched
57.94	0.1	her
58.04	0.32	lips
58.36	0.12	but
58.48	0.09	the
58.57	0.35	corners
58.92	0.11	of
59.03	0.11	her
59.14	0.42	mouth
59.56	0.31	turned
59.87	0.16	up
60.03	0.08	in
60.11	0.06	a
60.17	0.61	smile
61.96	0.21	They
62.17	0.5	eventually
62.67	0.18	made
62.85	0.11	it
62.96	0.07	to
63.03	0.1	the
63.13	0.18	front
63.31	0.1	of
63.41	0.08	the
63.49	0.26	line
63.75	0.1	to
63.85	0.15	go
64.0	0.12	through
64.12	0.11	the
64.23	0.23	metal
64.46	0.43	detector
65.36	0.37	Monica
65.74	0.43	began
66.18	0.6	methodically
66.78	0.45	removing
67.23	0.11	her
67.34	0.36	watch
67.73	0.15	and
67.88	0.28	belt
68.2	0.16	and
68.36	0.33	started
68.69	0.09	to
68.78	0.29	search
69.07	0.15	through
69.22	0.12	her
69.34	0.42	pockets
69.77	0.1	to
69.87	0.24	check
70.12	0.14	for
70.26	0.62	change
71.41	0.14	'Could
71.57	0.22	you
71.81	0.4	hurry
72.22	0.39	up
72.79	0.1	a
72.89	0.24	man
73.13	0.29	behind
73.42	0.17	them
73.59	0.46	shouted
74.41	0.54	glaring
74.95	0.15	at
75.1	0.19	her
75.55	0.21	She
75.76	0.33	turned
76.09	0.4	around
76.49	0.16	in
76.65	0.55	shock
78.23	0.19	'Hey
78.45	0.14	I
78.59	0.18	have
78.77	0.4	never
79.17	0.26	set
79.43	0.15	one
79.58	0.09	of
79.67	0.19	these
79.86	0.19	off
80.07	0.38	before
80.45	0.16	and
80.61	0.1	I
80.71	0.18	am
80.89	0.19	not
81.08	0.33	about
81.42	0.13	to
81.55	0.35	start
81.93	0.52	now
82.48	0.23	she
82.71	0.54	scolded
83.52	0.38	holding
83.9	0.14	up
84.04	0.14	her
84.18	0.33	finger
85.08	0.19	She
85.27	0.38	started
85.65	0.12	to
85.77	0.29	walk
86.06	0.26	through
86.33	0.29	then
86.63	0.37	jumped
87.0	0.34	back
87.35	0.17	and
87.53	0.26	bent
87.8	0.41	down
88.69	0.18	She
88.87	0.2	took
89.07	0.17	off
89.24	0.1	her
89.34	0.36	ankle
89.7	0.03	and
89.99	0.17	put
90.16	0.09	it
90.25	0.09	in
90.49	0.02	her
90.51	0.38	box
90.89	0.08	on
90.97	0.09	the
91.06	0.4	conveyor
91.46	0.29	belt
92.26	0.19	She
92.45	0.46	smiled
92.91	0.1	at
93.01	0.09	the
93.1	0.45	security
93.55	0.33	guard
94.52	0.25	That
94.77	0.15	was
94.92	0.07	a
94.99	0.45	close
95.44	0.23	one
96.36	0.16	Her
96.52	0.31	joy
96.86	0.19	was
97.05	0.21	cut
97.26	0.28	short
97.55	0.13	as
97.68	0.13	they
97.81	0.26	heard
98.07	0.07	the
98.14	0.34	final
98.48	0.3	call
98.78	0.13	for
98.91	0.14	their
99.05	0.31	flight
99.36	0.18	come
99.54	0.16	over
99.7	0.11	the
100.19	0.02	PA
100.21	0.27	system
101.26	0.29	gate
101.55	0.14	is
101.69	0.1	on
101.79	0.11	the
101.9	0.23	other
102.13	0.24	side
102.37	0.12	of
102.49	0.07	the
102.56	0.66	terminal
103.39	0.39	Monica
103.78	0.42	shouted
104.49	0.37	holding
104.86	0.14	her
105.0	0.34	hands
105.34	0.1	to
105.44	0.17	her
105.61	0.32	head
106.41	0.4	Chandler
106.81	0.24	looked
107.05	0.31	around
107.36	0.12	in
107.48	0.38	shock
107.87	0.15	and
108.02	0.14	then
108.16	0.3	ran
108.46	0.21	over
108.67	0.12	to
108.79	0.11	an
108.91	0.4	elderly
109.31	0.25	man
109.58	0.12	on
109.7	0.05	an
109.75	0.47	electric
110.22	0.45	scooter
110.68	0.01	'I
111.64	0.07	will
111.71	0.03	give
111.74	0.02	you
111.93	1.18	60
113.12	0.24	he
113.36	0.39	said
113.87	0.35	shoving
114.22	0.06	a
114.28	0.26	wad
114.54	0.13	of
114.68	0.35	cash
115.03	0.18	into
115.21	0.09	the
115.3	0.29	man's
115.59	0.34	hand
116.12	0.2	If
116.32	0.15	you
116.47	0.2	let
116.67	0.25	us
116.92	0.37	borrow
117.29	0.18	your
117.47	0.34	scooter
117.81	0.12	to
117.93	0.14	get
118.07	0.07	the
118.14	0.25	gate
118.43	0.29	B
