onset	duration	stimulus
6.32	0.46	Barney
6.78	0.16	and
6.94	0.43	Quinn
7.37	0.36	walked
7.73	0.2	into
7.93	0.14	the
8.07	0.49	airport
8.59	0.34	pulling
8.93	0.14	their
9.07	0.55	matching
9.66	0.32	pink
10.03	0.42	tiger
10.45	0.4	stripe
10.85	0.81	suitcases
12.06	0.34	Barney
12.4	0.34	leaned
12.74	0.25	over
12.99	0.15	and
13.14	0.28	kissed
13.42	0.12	her
13.54	0.1	on
13.64	0.1	the
13.74	0.45	cheek
14.81	0.18	This
14.99	0.12	is
15.11	0.23	going
15.34	0.08	to
15.42	0.18	be
15.63	0.16	an
15.79	0.62	amazing
16.41	0.19	week
16.6	0.13	I'm
16.73	0.24	so
16.97	0.3	glad
17.27	0.09	we
17.36	0.11	were
17.47	0.21	able
17.68	0.09	to
17.77	0.16	put
17.93	0.31	everything
18.24	0.13	that
18.37	0.32	happened
18.7	0.38	behind
19.08	0.34	us
20.0	0.16	He
20.16	0.17	looked
20.34	0.25	back
20.59	0.07	at
20.66	0.14	his
20.8	0.45	neon
21.25	0.34	colored
21.59	0.47	suitcase
22.06	0.16	and
22.22	0.52	frowned
23.23	0.53	Well
23.9	0.49	almost
24.39	0.55	everything
25.68	0.32	Quinn
26.0	0.27	rolled
26.27	0.14	her
26.41	0.48	eyes
27.16	0.18	Hey
27.34	0.2	you're
27.54	0.4	lucky
27.94	0.15	I
28.09	0.27	only
28.37	0.21	threw
28.58	0.19	out
28.77	0.15	your
28.92	0.43	luggage
29.35	0.25	Next
29.6	0.16	time
29.76	0.14	you
29.9	0.35	storm
30.25	0.14	off
30.39	0.1	to
30.49	0.37	Atlantic
30.86	0.24	City
31.1	0.25	after
31.35	0.08	a
31.43	0.29	fight
31.92	0.24	you'll
32.16	0.12	be
32.28	0.34	wearing
32.63	0.32	hot
32.95	0.36	pinks
33.31	0.13	to
33.44	0.24	let
33.68	0.47	us
34.81	0.38	Barney
35.19	0.33	hoisted
35.55	0.1	the
35.65	0.41	bags
36.06	0.19	onto
36.25	0.12	the
36.37	0.47	security
36.84	0.4	conveyor
37.24	0.3	belt
37.87	0.14	and
38.01	0.09	they
38.1	0.31	stepped
38.41	0.24	through
38.65	0.1	the
38.75	0.29	body
39.04	0.46	scanner
39.89	0.2	One
40.09	0.11	of
40.2	0.08	the
40.28	0.45	security
40.73	0.33	guards
41.06	0.35	weaved
41.42	0.18	them
41.6	0.28	over
41.88	0.15	and
42.03	0.25	held
42.28	0.13	up
42.42	0.34	Barney's
42.76	0.65	suitcase
44.27	0.39	Sir
44.69	0.22	is
44.91	0.36	this
46.71	0.71	yours
47.5	0.23	She
47.73	0.29	asked
48.02	0.89	incredulously
49.59	0.6	Yes
50.21	0.19	it
50.4	0.5	is
50.91	0.25	he
51.16	0.23	said
51.39	0.14	with
51.53	0.04	a
51.57	0.43	sigh
52.63	0.15	The
52.78	0.31	guard
53.09	0.38	placed
53.48	0.09	the
53.57	0.44	suitcase
54.03	0.15	on
54.18	0.06	a
54.24	0.36	table
54.6	0.12	and
54.73	0.3	opened
55.03	0.08	it
55.11	0.22	up
55.38	0.53	revealing
55.91	0.08	a
56.0	0.46	silver
56.46	0.36	metal
56.82	0.38	cube
57.21	0.22	about
57.43	0.06	a
57.49	0.32	foot
57.81	0.28	long
58.09	0.14	on
58.23	0.16	each
58.39	0.44	side
59.5	0.35	What
59.88	0.38	is
60.27	0.57	that
61.52	0.27	Quinn
61.8	0.21	looked
62.03	0.39	equally
62.42	0.48	confused
62.91	0.24	Yeah
63.15	0.22	what
63.37	0.19	is
63.56	0.41	that
65.08	0.38	Barney
65.49	0.33	pointed
65.82	0.13	to
65.95	0.12	it
66.07	0.89	nonchalantly
67.46	0.31	It's
67.8	0.1	a
67.9	0.42	magic
68.35	0.2	trick
68.57	0.12	You
68.69	0.23	see
68.96	0.4	I'm
69.37	0.49	something
69.86	0.1	of
69.96	0.05	a
70.01	0.63	magician
71.4	0.14	The
71.54	0.39	guard
71.96	0.43	motioned
72.4	0.11	to
72.51	0.38	several
72.89	0.3	others
73.19	0.13	for
73.32	0.49	backup
74.18	0.4	Sir
74.58	0.22	you
74.8	0.3	need
75.1	0.12	to
75.25	0.42	open
75.67	0.28	this
75.95	0.7	box
77.4	0.16	Oh
77.56	0.09	I
77.65	0.26	can't
77.91	0.14	do
78.05	0.34	that
78.4	0.57	Magicians
79.0	0.28	code
79.28	0.04	A
79.32	0.43	magician
79.75	0.35	never
80.1	0.47	reveals
80.57	0.21	his
80.78	0.39	tricks
81.41	0.17	The
81.58	0.36	only
81.94	0.38	person
82.32	0.08	I
82.4	0.19	could
82.59	0.55	possibly
83.14	0.32	reveal
83.46	0.08	the
83.54	0.28	trick
83.82	0.21	to
84.07	0.35	is
84.48	0.45	another
84.93	0.56	magician
85.98	0.22	On
86.21	0.39	cue
86.8	0.26	one
87.06	0.08	of
87.15	0.1	the
87.25	0.4	security
87.65	0.24	guards
87.9	0.33	stepped
88.23	0.41	forward
89.22	0.45	I'm
89.72	0.1	a
89.82	0.71	magician
90.73	0.19	he
90.92	0.31	said
91.27	0.3	pulling
91.57	0.08	out
91.65	0.07	a
91.72	0.19	deck
91.91	0.13	of
92.04	0.3	cards
92.34	0.17	from
92.51	0.17	his
92.68	0.29	breast
92.98	0.4	pocket
93.9	0.29	Barney
94.2	0.48	shrugged
95.33	0.39	Fair
95.72	0.56	enough
96.84	0.18	He
97.02	0.24	leaned
97.26	0.22	over
97.48	0.14	and
97.62	0.36	whispered
97.98	0.06	in
98.04	0.09	the
98.13	0.33	guards
