onset	duration	stimulus
0.06	0.26	Okay
0.32	0.13	so
0.45	0.23	getting
0.68	0.14	back
0.82	0.09	to
0.91	0.11	our
1.02	0.48	story
1.53	0.51	about
2.76	0.44	Lucy
3.37	0.13	This
3.5	0.12	is
3.62	0.05	a
3.67	0.32	story
3.99	0.19	that
4.69	0.38	begins
5.07	0.07	in
5.14	0.9	1964
6.29	0.08	and
6.37	0.13	it's
6.5	0.19	one
6.69	0.08	that
6.77	0.31	Charles
7.08	0.09	would
7.17	0.04	have
7.25	0.43	never
7.68	0.16	heard
7.84	0.34	about
8.19	0.3	heading
8.49	0.16	out
8.66	0.37	bumped
9.03	0.27	into
9.3	0.31	this
9.75	0.89	obscure
11.21	0.65	old
12.07	0.56	memoir
12.64	0.39	Long
13.03	0.14	at
13.17	0.05	a
13.22	0.32	print
13.57	0.18	Yeah
13.75	0.17	what's
13.92	0.03	the
13.95	0.1	name
14.05	0.05	of
14.1	0.05	the
14.15	0.17	book
14.34	0.02	Do
14.37	0.14	you
14.51	0.22	actually
14.73	0.1	have
14.83	0.06	it
14.89	0.13	with
15.02	0.07	you
15.09	0.21	Yeah
15.35	0.18	hold
15.53	0.19	on
21.23	0.52	It's
21.78	0.81	called
22.71	0.64	Lucy
23.35	0.45	Growing
23.8	0.27	Up
24.12	0.66	Human
25.18	0.1	a
25.28	0.68	chimpanzee
25.96	0.39	daughter
26.37	0.17	in
26.54	0.08	a
26.62	1.22	psychotherapist
27.84	0.59	family
28.44	0.23	by
28.67	0.54	Maurice
29.21	0.29	K
29.5	0.55	Tamerlin
30.16	0.34	Maurice
30.5	0.17	K
30.67	0.44	Tamerlin
31.12	0.25	he
31.39	0.21	is
31.6	0.09	the
31.69	0.67	psychotherapist
32.36	0.12	He's
32.48	0.06	a
32.54	1.09	psychotherapist
33.84	0.12	And
33.96	0.13	he's
34.09	0.23	also
34.32	0.12	the
34.44	0.53	dad
34.98	0.2	in
35.18	0.19	this
35.37	0.52	story
35.9	0.09	And
35.99	0.12	his
36.11	0.22	wife
36.33	0.43	Jane
36.9	0.14	who's
37.04	0.07	a
37.11	0.34	social
37.45	0.3	worker
37.75	0.26	she's
38.01	0.1	the
38.11	0.35	mom
38.54	0.14	Now
38.68	0.12	the
38.8	0.21	thing
39.01	0.11	to
39.12	0.49	know
40.08	0.21	was
40.3	0.25	that
40.66	0.42	especially
41.08	0.14	for
41.22	0.36	Maurice
41.59	0.38	Tamerlin
41.98	0.21	this
42.19	0.18	was
42.38	0.36	more
42.74	0.18	than
42.92	0.32	just
43.26	0.51	adopting
43.77	0.04	a
43.81	0.28	baby
44.09	0.26	chimp
44.85	0.25	This
45.1	0.14	was
45.24	0.09	an
45.33	0.6	experiment
46.49	0.18	He
46.67	0.29	wanted
46.96	0.1	to
47.06	0.37	know
47.55	0.37	given
47.92	0.1	the
48.02	0.2	right
48.22	0.59	upbringing
49.02	0.42	how
49.44	0.72	human
50.46	0.28	could
50.74	0.36	Lucy
51.1	0.5	become
51.64	0.11	You
51.75	0.14	know
52.64	0.1	what
52.74	0.08	he
52.82	0.21	says
53.03	0.2	early
53.23	0.14	on
53.37	0.08	in
53.45	0.15	this
53.6	0.17	book
55.67	0.26	would
55.93	0.19	she
56.12	0.38	learn
56.5	0.13	to
56.63	0.27	love
56.9	0.32	us
57.71	0.16	and
57.87	0.46	perhaps
58.47	0.22	have
58.73	0.22	other
58.95	0.42	human
59.37	0.44	emotions
59.81	0.13	as
59.94	0.37	well
60.69	0.2	Would
60.89	0.16	she
61.05	0.19	be
61.34	0.21	well
61.55	0.45	behaved
62.59	0.63	rebellious
63.24	0.42	intelligent
63.79	0.12	or
63.91	0.35	stupid
64.41	0.13	What
64.54	0.24	about
64.78	0.53	sex
67.08	0.28	Maurice
67.36	0.42	Tamerlin
67.78	0.29	actually
68.07	0.29	died
68.36	0.06	in
68.42	0.78	1989
69.21	0.08	but
69.29	0.16	these
69.45	0.14	are
69.59	0.16	his
69.77	0.6	words
70.48	0.26	read
70.74	0.28	by
71.02	0.37	Radio
71.39	0.27	host
71.66	0.25	David
71.91	0.35	Garland
72.37	0.19	Would
72.56	0.17	she
72.73	0.32	mother
73.05	0.17	her
73.23	0.59	offspring
74.37	0.14	Could
74.51	0.15	she
74.66	0.2	learn
74.86	0.15	to
75.07	0.41	talk
75.49	0.19	How
75.68	0.55	intelligent
76.24	0.26	might
76.5	0.2	she
76.73	0.34	be
77.49	0.09	And
77.58	0.11	so
77.69	0.14	how
77.83	0.14	did
77.97	0.08	they
78.05	0.26	get
78.31	0.23	her
78.65	0.33	He
78.99	0.39	says
79.38	0.18	that
80.21	0.1	he
80.31	0.07	and
80.38	0.14	his
80.52	0.33	wife
80.85	0.32	Jane
81.17	0.2	made
81.37	0.15	all
81.52	0.13	the
81.65	0.29	arrangements
82.13	0.27	went
82.46	0.17	and
82.63	0.26	got
82.92	0.15	the
83.07	0.25	chimp
83.4	0.1	from
83.63	0.21	day
83.84	0.14	the
83.98	0.33	infant
84.32	0.18	was
84.5	0.33	born
84.9	0.12	The
85.02	0.3	mother
85.32	0.42	was
86.56	0.24	anesthetized
87.19	0.1	in
87.29	0.13	the
87.43	0.28	early
87.71	0.37	morning
88.08	0.08	of
88.16	0.09	her
88.25	0.38	second
88.63	0.39	day
89.25	0.3	Jane
89.55	0.21	fed
89.76	0.06	the
89.82	0.31	mother
90.13	0.08	a
90.21	0.31	Coca
90.53	0.45	Cola
90.99	0.22	which
91.22	0.08	had
91.3	0.15	been
91.45	0.43	spiked
91.88	0.18	with
92.06	0.89	fensiclidine
93.39	0.1	a
93.49	0.34	drug
93.84	0.26	which
94.12	0.24	puts
94.36	0.95	chimpanzees
95.31	0.3	into
95.61	0.09	a
95.7	0.5	deep
96.64	0.48	pleasant
97.59	0.51	sleep
102.63	0.46	And
103.18	0.24	the
103.42	0.46	baby
104.11	0.49	was
104.71	0.31	taken
105.02	0.35	away
105.38	0.31	Jane
105.69	0.22	named
105.91	0.12	her
106.03	0.46	Lucy
106.76	0.13	and
106.89	0.21	brought
107.1	0.11	her
107.21	0.29	home
107.5	0.11	on
107.61	0.06	a
107.67	0.5	commercial
