onset	duration	stimulus
23.18	0.03	set
29.28	0.34	Okay
31.04	0.21	so
31.66	0.11	the
31.77	0.22	thing
32.33	0.22	starts
32.57	0.23	with
32.83	0.29	like
33.6	0.24	this
33.84	0.17	kind
34.01	0.02	of
34.48	0.37	beachy
34.97	0.45	scene
35.44	0.3	almost
35.74	0.03	with
35.94	0.44	sand
36.47	0.03	and
36.5	0.32	then
36.92	0.33	you
37.92	0.29	kid
38.21	0.6	Merlin
38.84	0.22	starts
39.07	0.38	walking
39.49	0.28	up
40.31	0.02	it
40.46	0.46	flashes
40.92	0.16	their
41.08	0.23	bunch
41.31	0.15	of
41.46	0.18	like
41.64	0.28	scenes
41.92	0.01	are
41.93	0.22	just
42.16	0.64	traveling
42.8	0.21	like
43.52	0.12	their
43.64	0.37	fairly
44.01	0.35	rural
44.36	0.5	areas
44.86	0.15	and
45.1	0.27	is
45.42	0.42	upbeat
45.84	0.1	and
45.96	0.55	happy
47.3	0.16	and
47.46	0.27	then
48.57	0.12	like
48.72	0.14	the
48.9	0.49	title
49.4	0.39	scene
49.81	0.22	the
50.05	0.56	credits
50.69	0.46	roll
51.44	0.22	with
51.66	0.09	the
51.75	0.53	music
52.28	0.23	and
52.54	0.1	you
52.64	0.17	see
52.81	0.15	like
52.96	0.03	a
52.99	0.22	bunch
53.21	0.22	of
53.44	0.17	like
53.74	0.58	medieval
54.36	0.54	imagery
54.9	0.26	and
55.52	0.44	fire
55.96	0.22	and
56.18	0.34	stuff
59.44	0.12	So
59.56	0.14	then
59.7	0.29	after
59.99	0.32	that
60.91	0.25	kid
61.16	0.17	just
61.33	0.19	keeps
61.52	0.36	walking
61.88	0.19	he's
62.5	0.11	on
62.61	0.07	a
62.68	0.49	town
63.19	0.1	with
63.29	0.13	like
63.42	0.22	lots
63.64	0.12	of
63.76	0.6	people
65.23	0.03	It's
65.36	0.34	very
65.7	0.54	obviously
66.24	0.5	like
66.88	0.45	medieval
67.33	0.56	times
68.17	0.2	He's
68.37	0.17	got
68.54	0.09	like
68.63	0.15	this
68.78	0.6	backpack
69.39	0.14	and
69.53	0.31	stuff
70.17	0.16	and
70.33	0.29	he's
70.67	0.53	traveled
71.2	0.08	a
71.28	0.44	long
72.62	0.02	way
72.68	0.16	we
72.84	0.63	understand
73.95	0.35	So
74.91	0.4	everyone's
75.31	0.76	congregated
76.07	0.18	and
76.25	0.27	he
76.55	0.4	joins
76.98	0.12	this
77.11	0.23	crowd
77.34	0.12	of
77.47	0.47	people
78.51	0.49	and
79.92	0.29	we
80.25	0.19	see
80.44	0.2	this
80.67	0.25	other
80.94	0.24	man
81.19	0.27	being
81.46	0.22	let
81.68	0.22	up
82.03	0.48	to
82.84	0.23	like
83.67	0.52	something
84.23	0.12	by
84.35	0.21	two
84.61	0.41	guards
85.47	0.39	and
85.86	0.07	we
85.93	0.32	understand
86.25	0.03	that
86.78	0.59	executed
87.4	0.14	and
87.54	0.27	then
89.98	0.15	the
90.13	0.45	king
90.97	0.46	of
91.55	0.06	I
91.61	0.18	don't
92.15	0.23	yeah
92.38	0.05	I
92.43	0.2	guess
92.65	0.17	just
92.85	0.1	the
92.95	0.35	king
93.63	0.15	He
93.98	0.15	starts
94.13	0.31	talking
94.44	0.16	he
94.6	0.31	says
94.92	0.19	that
95.11	0.16	this
95.27	0.25	man
95.52	0.13	is
95.65	0.13	going
95.78	0.04	to
95.83	0.15	be
95.98	0.27	killed
96.27	0.33	because
96.63	0.15	he
96.78	0.43	practiced
97.21	0.44	magic
98.11	0.47	and
98.59	0.32	that
