onset	duration	stimulus
21.14	0.03	He
21.34	0.31	took
21.65	0.08	a
21.73	0.36	deep
22.17	0.61	breath
23.05	0.19	and
23.24	0.29	tried
23.53	0.09	to
23.62	0.31	calm
23.93	0.45	down
25.36	0.13	The
25.49	0.68	situation
26.17	0.27	seemed
26.44	0.35	almost
26.79	0.67	hopeless
27.89	0.14	and
28.03	0.31	after
28.34	0.14	he
28.48	0.39	spent
28.9	0.33	most
29.23	0.12	of
29.35	0.09	the
29.44	0.35	last
29.79	0.32	week's
30.11	0.68	drinking
31.11	0.17	he
31.28	0.25	knew
31.54	0.12	he
31.66	0.33	must
32.0	0.43	confront
32.47	0.13	the
32.6	0.55	truth
34.1	0.16	He
34.26	0.21	looked
34.47	0.07	at
34.54	0.17	his
34.71	0.57	reflection
35.28	0.12	in
35.4	0.09	the
35.49	0.55	mirror
36.14	0.16	and
36.3	0.4	started
36.7	0.5	sobbing
37.23	1.01	uncontrollably
39.54	0.32	That
39.88	0.52	evening
40.87	0.15	at
41.02	0.2	his
41.22	0.48	deepest
41.7	0.39	moment
42.09	0.11	of
42.2	0.63	despair
43.31	0.12	he
43.44	0.21	did
43.65	0.12	the
43.77	0.78	unthinkable
45.1	0.41	calling
45.51	0.17	his
45.68	0.33	mother
46.02	0.11	to
46.13	0.59	consult
48.05	0.18	In
48.23	0.61	general
49.44	0.46	advice
49.9	0.21	from
50.11	0.19	his
50.3	0.39	mother
50.69	0.54	resembled
51.26	0.12	a
51.38	0.56	long
52.07	0.18	and
52.28	0.68	gruesomely
52.96	0.57	painful
53.53	0.51	lecture
54.47	0.3	about
54.79	0.26	all
55.05	0.12	the
55.18	0.24	big
55.42	0.51	mistakes
55.93	0.11	he
56.04	0.12	had
56.16	0.26	made
56.42	0.12	in
56.54	0.19	his
56.73	0.37	life
58.08	0.45	Starting
58.53	0.18	from
58.71	0.16	how
58.87	0.18	he
59.06	0.3	thought
59.37	0.14	to
59.51	0.24	stay
59.75	0.1	in
59.85	0.18	his
60.03	0.36	mother's
60.41	0.48	womb
61.43	0.22	up
61.65	0.14	to
61.79	0.11	the
61.9	0.27	way
62.17	0.17	he
62.34	0.16	had
62.5	0.45	ruined
62.96	0.12	the
63.08	0.69	relationship
63.77	0.15	with
63.94	0.42	Emily
64.38	0.54	Lamore
66.42	0.13	To
66.55	0.17	be
66.72	0.58	honest
67.51	0.2	this
67.71	0.37	wasn't
68.09	0.26	far
68.35	0.14	from
68.49	0.09	the
68.58	0.48	truth
69.76	0.19	His
69.95	0.28	mother
70.24	0.16	had
70.4	0.18	gone
70.58	0.19	through
70.78	0.42	almost
71.21	0.37	40
71.58	0.44	hours
72.04	0.13	of
