onset	duration	stimulus
0.74	0.15	The
5.56	0.2	mountain
21.7	0.22	took
21.92	0.08	a
22.0	0.3	deep
22.31	0.36	breath
23.15	0.17	and
23.32	0.29	tried
23.61	0.11	to
23.72	0.36	calm
24.08	0.43	down
25.44	0.13	The
25.57	0.72	situation
26.29	0.18	was
26.48	0.48	almost
26.97	0.63	desperate
27.94	0.16	and
28.1	0.3	after
28.4	0.37	Martin
28.77	0.3	spent
29.11	0.39	most
29.5	0.03	of
29.55	0.13	the
29.68	0.39	last
30.07	0.31	week's
30.4	0.51	drunk
31.16	0.17	he
31.33	0.17	knew
31.5	0.11	it
31.61	0.19	was
31.8	0.31	time
32.11	0.14	to
32.25	0.36	face
32.61	0.69	reality
34.22	0.36	Martin
34.58	0.25	looked
34.83	0.11	at
34.94	0.12	the
35.06	0.54	reflection
35.6	0.1	in
35.7	0.08	the
35.78	0.43	mirror
36.25	0.15	and
36.4	0.42	started
36.82	0.36	weeping
37.21	1.02	uncontrollably
39.69	0.25	That
39.94	0.55	evening
40.94	0.16	at
41.1	0.13	the
41.28	0.49	utmost
41.77	0.37	moment
42.15	0.14	of
42.29	0.96	hopelessness
43.39	0.44	Martin
43.85	0.24	did
44.1	0.18	the
44.3	1.03	inconceivable
45.37	0.42	calling
45.79	0.17	his
45.96	0.36	mom
46.32	0.15	to
46.47	0.57	talk
48.13	0.2	In
48.33	0.71	general
49.49	0.28	help
49.77	0.22	from
49.99	0.22	his
50.21	0.38	mom
50.59	0.45	resembled
51.04	0.06	a
51.1	0.6	lengthy
51.78	0.26	and
52.15	0.41	very
52.56	0.98	excruciating
53.54	0.56	lecture
54.53	0.29	about
54.87	0.25	all
55.14	0.13	the
55.27	0.36	things
55.63	0.15	he
55.78	0.18	had
55.96	0.31	done
56.27	0.28	wrong
56.55	0.13	in
56.68	0.21	his
56.89	0.45	life
58.03	0.46	Starting
58.49	0.19	from
58.68	0.18	how
58.87	0.43	Martin
59.31	0.47	struggled
59.78	0.1	to
59.88	0.41	remain
60.29	0.12	in
60.41	0.12	his
60.53	0.3	mom's
60.84	0.42	belly
61.52	0.19	up
61.71	0.13	to
61.84	0.19	how
62.04	0.33	Martin
62.38	0.17	had
62.55	0.36	messed
63.01	0.23	up
63.3	0.54	everything
63.84	0.14	with
63.98	0.45	Sophia
64.43	0.7	Jones
66.5	0.15	To
66.65	0.16	be
66.81	0.58	honest
67.63	0.14	it
67.77	0.38	wasn't
68.15	0.25	far
68.4	0.18	from
68.58	0.09	the
68.67	0.5	truth
69.85	0.22	His
70.07	0.32	mom
70.39	0.32	had
70.71	0.2	gone
70.91	0.24	through
71.15	0.32	nearly
71.47	0.3	30
71.81	0.39	hours
72.2	0.11	of
72.31	0.63	agonizing
72.95	0.5	labor
73.61	0.3	Martin
73.91	0.16	could
74.07	0.68	imagine
75.07	0.12	though
75.19	0.13	he
75.32	0.27	never
75.59	0.27	really
75.87	0.51	tried
76.92	0.16	It
77.08	0.17	could
77.25	0.16	have
77.41	0.21	gone
77.64	0.53	easier
79.45	0.19	But
79.64	0.1	to
79.74	0.28	this
80.02	0.51	day
80.97	0.28	each
81.25	0.28	time
81.53	0.35	Martin
81.89	0.19	looked
82.08	0.09	at
82.17	0.17	his
82.34	0.32	mom's
82.66	0.43	belly
83.37	0.13	he
83.5	0.28	felt
83.78	0.13	that
83.91	0.08	it
83.99	0.14	was
84.13	0.14	the
84.28	0.4	only
84.68	0.45	time
85.13	0.21	he
85.35	0.3	really
85.65	0.26	felt
85.91	0.52	protected
86.46	0.17	and
86.64	0.56	loved
88.82	0.2	As
89.02	0.12	for
89.14	0.64	Sophia
90.26	0.15	it
90.41	0.33	wasn't
90.75	0.22	that
90.97	0.47	simple
91.55	0.23	as
91.78	0.33	nothing
92.11	0.13	in
92.24	0.22	life
92.48	0.26	ever
92.77	0.47	is
93.96	0.35	Martin
94.31	0.13	had
94.45	0.34	treated
94.79	0.14	her
94.93	0.43	badly
95.37	0.57	sometime
96.01	0.16	and
96.17	0.39	well
96.87	0.3	Martin
97.18	0.23	did
97.41	0.21	take
97.62	0.35	Sophia
97.97	0.11	for
98.08	0.52	granted
98.61	0.26	although
98.87	0.5	Sophia
99.37	0.17	was
99.54	0.28	better
99.82	0.17	than
99.99	0.42	anything
100.41	0.28	Martin
100.7	0.16	could
100.86	0.27	ever
101.13	0.23	hope
101.36	0.3	for
101.73	0.17	and
101.9	0.27	Martin
102.17	0.17	could
102.34	0.17	go
102.54	0.4	on
102.97	0.19	and
103.21	0.42	on
103.68	0.17	and
103.89	0.35	on
104.28	0.32	about
104.62	0.19	all
104.81	0.12	the
104.93	0.35	things
105.28	0.13	that
105.42	0.32	ended
105.74	0.58	poorly
106.96	0.13	But
107.09	0.07	it
107.16	0.16	was
107.32	0.46	beside
107.78	0.07	the
107.85	0.45	point
109.42	0.33	Martin
109.75	0.24	learned
109.99	0.07	the
110.06	0.52	lesson
110.94	0.13	or
111.07	0.19	so
111.26	0.15	he
111.41	0.28	told
111.71	0.62	everybody
112.57	0.26	not
112.86	0.62	understanding
113.48	0.14	what
113.62	0.09	the
113.71	0.38	lesson
114.09	0.43	was
114.91	0.17	And
115.08	0.21	how
115.29	0.13	the
115.42	0.2	heck
115.62	0.14	was
115.76	0.14	he
115.9	0.4	supposed
116.3	0.04	to
116.35	0.3	learn
116.65	0.29	it
118.41	0.42	Martin's
118.83	0.3	mom
119.15	0.68	identified
119.83	0.14	his
119.98	0.45	usual
120.44	0.42	habit
120.92	0.17	and
121.09	0.33	spoke
121.42	0.13	to
121.55	0.3	him
121.89	0.61	annoyed
123.13	0.21	I'm
123.34	0.26	so
123.6	0.19	fed
123.8	0.17	up
123.97	0.17	with
124.14	0.12	you
124.26	0.52	Martin
125.2	0.34	Listen
125.54	0.13	to
