onset	duration	stimulus
21.13	0.19	She
21.49	0.27	took
21.76	0.13	a
21.9	0.33	deep
22.27	0.55	breath
23.11	0.19	and
23.3	0.28	tried
23.58	0.11	to
23.69	0.38	calm
24.07	0.43	down
25.42	0.12	The
25.54	0.68	situation
26.22	0.3	seemed
26.66	0.29	too
26.95	0.51	good
27.94	0.17	And
28.11	0.28	after
28.39	0.2	she
28.59	0.3	spent
28.89	0.37	most
29.26	0.11	of
29.37	0.08	the
29.45	0.35	last
29.8	0.24	week's
30.05	0.73	worrying
31.24	0.22	she
31.46	0.18	knew
31.64	0.17	she
31.81	0.16	could
31.97	0.44	enjoy
32.41	0.11	the
32.52	0.61	moment
34.2	0.19	She
34.39	0.22	looked
34.61	0.09	at
34.7	0.11	her
34.81	0.62	reflection
35.43	0.1	in
35.53	0.11	the
35.64	0.54	mirror
36.23	0.16	and
36.39	0.33	started
36.72	0.4	laughing
37.14	1.0	uncontrollably
39.66	0.27	That
39.94	0.54	evening
40.95	0.14	at
41.09	0.14	her
41.24	0.46	biggest
41.7	0.31	moment
42.01	0.12	of
42.15	0.65	triumph
43.38	0.2	she
43.58	0.23	did
43.81	0.08	the
43.89	0.74	expected
45.21	0.37	calling
45.58	0.09	her
45.67	0.29	mother
45.96	0.14	to
46.1	0.6	brag
48.08	0.2	In
48.28	0.69	general
49.44	0.78	conversations
50.22	0.15	with
50.37	0.09	her
50.46	0.46	mother
50.93	0.62	resembled
51.58	0.13	an
51.71	0.64	intense
52.39	0.17	and
52.6	0.83	unbelievably
53.47	0.65	optimistic
54.12	0.44	lecture
54.62	0.24	about
54.91	0.21	all
55.12	0.11	the
55.23	0.3	good
55.55	0.3	things
55.86	0.13	she
55.99	0.1	had
56.09	0.61	accomplished
56.7	0.11	in
56.81	0.14	her
56.95	0.44	life
58.15	0.46	starting
58.61	0.18	from
58.79	0.16	how
58.95	0.16	she
59.11	0.35	managed
59.47	0.13	to
59.6	0.45	slide
60.05	0.16	from
60.21	0.1	her
60.31	0.37	mother's
60.71	0.42	womb
61.49	0.21	up
61.7	0.15	to
61.85	0.12	the
61.97	0.29	way
62.26	0.18	she
62.44	0.14	had
62.58	0.25	reached
62.84	0.13	the
62.97	0.57	finals
63.57	0.15	in
63.72	0.55	American
64.27	0.45	Idol
66.53	0.14	To
66.67	0.14	be
66.81	0.59	honest
67.68	0.15	it
67.83	0.32	wasn't
68.15	0.22	far
68.37	0.17	from
68.54	0.12	the
68.68	0.5	truth
69.84	0.11	Her
69.95	0.3	mother
70.25	0.18	had
70.43	0.27	gone
70.72	0.2	through
70.93	0.31	only
71.28	0.26	two
