onset	duration	stimulus
25.74	0.17	So
25.91	0.2	I'm
26.34	0.34	5
27.1	0.54	000
27.66	0.32	feet
28.06	0.5	above
28.65	0.46	Albany
29.15	0.13	I'm
29.28	0.15	just
29.43	0.04	a
29.47	0.32	perfect
29.79	0.24	day
30.03	0.3	beautiful
30.33	0.26	blue
30.59	0.36	sky
30.96	0.05	and
31.01	0.12	not
31.13	0.04	a
31.17	0.24	cloud
31.41	0.06	in
31.47	0.1	the
31.57	0.31	sky
31.99	0.12	can
32.11	0.33	see
32.66	0.12	the
32.78	0.61	horizon
33.4	0.14	in
33.54	0.22	every
33.76	0.55	direction
34.88	0.3	When
35.18	0.3	the
35.65	0.32	girl
35.97	0.11	that
36.08	0.18	just
36.26	0.22	pushed
36.48	0.14	me
36.62	0.07	out
36.69	0.1	of
36.8	0.12	the
36.92	0.57	airplane
37.5	0.52	screams
38.02	0.34	wait
38.36	0.28	wait
38.65	0.21	you're
38.86	0.58	shoot
45.4	0.75	It's
47.94	0.67	and
49.71	0.16	she's
49.87	0.28	gone
50.16	0.13	with
50.29	0.05	the
50.34	0.3	plane
52.91	0.01	I
52.92	0.13	don't
53.05	0.24	think
53.3	0.27	the
53.59	0.34	sentence
53.96	0.34	ends
54.51	0.42	functioning
54.93	0.52	properly
55.47	0.14	Have
55.61	0.04	a
55.65	0.24	great
55.89	0.22	jump
57.83	0.01	I
58.01	0.09	think
58.1	0.09	it
58.19	0.34	ends
58.56	0.62	worse
59.89	0.05	I
59.94	0.1	don't
60.04	0.1	know
60.14	0.06	a
60.2	0.17	lot
60.37	0.17	about
60.54	0.6	skydiving
61.46	0.38	but
62.26	0.03	I
62.29	0.16	would
62.46	0.45	think
62.93	0.31	that
63.95	0.16	a
64.11	0.37	working
64.48	0.3	shoot
64.78	0.27	lends
65.05	0.13	to
66.11	0.01	a
66.12	0.21	better
66.33	0.46	jump
66.88	0.58	especially
67.66	0.24	towards
67.9	0.14	the
68.04	0.46	end
70.28	0.14	What
70.43	0.33	happened
70.76	0.17	was
70.93	0.05	I
70.98	0.09	was
71.07	0.08	in
71.15	0.13	my
71.28	0.3	40s
71.59	0.52	suddenly
72.35	0.71	surprisingly
73.61	0.4	And
74.86	0.19	I
76.2	0.17	did
76.37	0.13	want
76.5	0.02	to
76.52	0.11	be
76.63	0.1	one
76.73	0.09	of
76.82	0.13	those
77.71	0.21	mid
77.92	0.16	life
78.08	0.38	crisis
78.46	0.27	guys
78.73	0.08	who
78.81	0.27	runs
79.08	0.13	out
79.21	0.1	and
79.31	0.15	gets
79.46	0.06	a
79.52	0.64	convertible
81.03	0.56	besides
81.6	0.15	who
81.75	0.21	needs
81.96	0.15	two
82.11	0.82	convertibles
84.74	0.23	And
88.25	0.07	I
88.32	0.1	had
88.42	0.21	already
88.63	0.18	gotten
88.81	0.4	divorced
89.21	0.1	so
89.31	0.14	that
89.45	0.14	was
89.59	0.2	already
89.79	0.38	checked
90.17	0.38	off
92.37	0.07	I
92.44	0.19	needed
92.64	0.09	to
92.73	0.17	do
92.9	0.49	something
93.39	0.1	so
93.49	0.05	I
93.54	0.2	went
93.74	0.09	to
93.99	0.44	cliche
94.43	0.26	number
94.69	0.42	three
95.45	0.18	And
95.63	0.06	I
95.69	0.38	drive
96.09	0.52	upstate
96.62	0.14	to
96.76	0.5	this
97.32	0.72	skydiving
98.04	0.68	academy
100.14	0.23	near
100.37	0.49	Albany
100.9	0.13	for
102.39	0.02	my
102.41	0.3	meeting
102.71	0.21	with
103.27	0.61	Annette
103.95	0.39	the
104.36	0.58	school's
105.18	0.21	bear
105.39	0.39	bellied
105.78	0.28	khaki
106.07	0.37	shorted
106.73	0.27	tan
107.01	0.47	shouldered
107.66	0.63	senior
108.48	0.53	instructors
109.02	0.05	She
109.08	0.09	was
109.17	0.35	19
109.52	0.18	years
109.7	0.27	old
113.19	0.37	She
113.56	0.17	was
113.73	0.17	like
113.9	0.09	I
115.22	0.13	could
115.35	0.09	have
115.44	0.3	folded
115.74	0.08	her
115.82	0.12	up
115.94	0.08	and
116.02	0.11	put
116.13	0.07	her
116.28	0.1	my
116.38	0.35	pocket
116.73	0.1	She
116.83	0.15	looked
116.98	0.08	like
117.06	0.09	a
117.34	0.33	lower
117.67	0.28	case
117.98	0.25	eye
118.23	0.03	with
118.43	0.01	a
118.44	0.37	smiley
118.81	0.25	face
119.06	0.26	dot
120.52	0.17	For
120.69	0.04	a
120.73	0.41	head
121.31	0.2	which
121.51	0.21	made
121.72	0.14	me
121.86	0.23	feel
122.09	0.16	a
122.25	0.43	capital
122.68	0.23	O
122.91	0.43	standing
123.34	0.22	next
123.56	0.09	to
123.65	0.26	her
124.67	0.14	But
124.81	0.07	she
124.88	0.15	was
125.04	0.65	professional
125.78	0.14	so
125.92	0.09	the
126.01	0.22	first
126.23	0.12	thing
126.35	0.1	she
126.45	0.15	did
126.6	0.1	was
126.7	0.24	shake
126.94	0.13	my
127.07	0.31	hand
127.38	0.09	but
127.47	0.1	then
127.57	0.11	she
127.68	0.14	put
127.82	0.11	her
127.93	0.27	arm
128.2	0.35	through
128.56	0.46	mine
129.25	0.19	and
129.44	0.45	squeezed
129.89	0.12	it
130.02	0.07	a
130.09	0.19	little
130.28	0.22	bit
130.75	0.19	and
130.94	0.22	said
131.2	0.11	this
131.31	0.14	is
131.45	0.11	going
131.56	0.03	to
131.59	0.16	be
131.78	0.48	awesome
133.84	0.15	And
133.99	0.09	then
134.08	0.14	she
134.22	0.19	led
134.41	0.11	me
134.52	0.14	into
134.66	0.13	the
134.79	0.39	office
135.18	0.2	which
135.38	0.21	looked
135.59	0.1	like
135.69	0.06	I
135.75	0.13	had
135.88	0.15	been
136.03	0.16	kind
136.19	0.28	of
136.51	0.64	delivered
137.19	0.33	on
137.52	0.07	the
137.6	0.17	back
137.77	0.09	of
137.86	0.08	a
137.94	0.43	flatbed
138.37	0.39	truck
139.0	0.36	And
139.85	0.18	like
140.03	0.11	they
140.14	0.28	dropped
140.42	0.08	it
140.5	0.1	on
140.6	0.16	his
140.76	0.36	corner
141.12	0.15	when
141.27	0.08	they
141.35	0.48	unloaded
141.83	0.18	it
142.57	0.03	and
142.6	0.25	inside
142.85	0.1	the
143.27	0.39	office
143.68	0.24	and
143.92	0.09	the
144.01	0.2	first
144.21	0.14	thing
144.35	0.14	she
144.49	0.26	says
144.75	0.22	is
145.03	0.14	that
145.17	0.03	I
145.2	0.16	have
145.36	0.27	pretty
145.63	0.48	eyes
147.62	0.17	And
147.79	0.1	then
147.89	0.15	she
148.04	0.22	hands
148.26	0.1	me
148.36	0.09	the
148.45	0.68	liability
149.13	0.43	waiver
149.73	0.09	It
152.87	0.38	was
153.37	0.13	an
153.5	0.58	extremely
154.08	0.72	Darwinian
154.81	0.45	moment
155.27	0.28	for
155.55	0.24	me
156.37	0.08	because
156.45	0.1	what
156.55	0.04	I
156.6	0.12	should
156.72	0.12	have
156.84	0.15	done
156.99	0.13	was
157.57	0.8	drive
158.37	0.47	away
158.84	0.13	and
158.97	0.13	do
159.1	0.33	something
159.44	0.03	that
159.47	0.1	was
159.57	0.16	more
159.73	0.17	well
159.9	0.48	adapted
160.38	0.07	to
160.45	0.37	doing
160.82	0.19	like
161.25	0.54	driving
162.37	0.35	But
164.66	0.2	I
164.86	0.5	signed
165.36	0.21	it
165.57	0.63	because
166.43	0.23	she
166.66	0.22	told
166.88	0.11	me
166.99	0.01	I
167.01	0.17	had
167.18	0.27	pretty
167.45	0.41	eyes
168.65	0.15	But
168.8	0.04	I
168.84	0.3	wanted
169.14	0.09	her
169.23	0.09	to
169.32	0.15	know
169.47	0.09	that
169.65	0.13	was
169.78	0.25	more
170.03	0.14	than
170.17	0.15	just
170.32	0.03	a
170.35	0.14	pair
170.49	0.07	of
170.61	0.2	pretty
171.66	0.12	eyes
171.79	0.15	that
171.94	0.12	I
172.31	0.29	had
172.61	0.15	the
172.76	0.26	right
173.03	0.55	stuff
173.62	0.34	So
174.56	0.12	I
174.68	0.33	signed
175.01	0.2	it
175.27	0.22	and
175.49	0.24	then
175.98	0.07	she
176.05	0.19	takes
176.24	0.16	me
176.43	0.31	back
176.76	0.56	outside
177.32	0.13	and
177.45	0.26	while
177.72	0.17	the
177.9	0.49	pilot
178.41	0.24	and
178.65	0.11	I
178.77	0.09	don't
178.86	0.13	know
178.99	0.12	his
179.11	0.26	home
179.37	0.26	room
179.63	0.5	teacher
180.3	0.11	are
180.41	0.29	playing
180.71	0.37	hacky
181.09	0.46	sack
182.11	0.34	out
183.45	0.16	on
183.61	0.11	the
183.72	0.63	runway
186.73	0.28	She
187.02	0.3	says
187.32	0.12	we're
187.44	0.09	going
187.53	0.08	to
187.62	0.44	start
188.1	0.27	with
188.39	0.23	the
188.65	0.58	landing
189.23	0.25	because
189.48	0.25	that's
189.73	0.14	the
189.87	0.47	important
190.38	0.41	part
191.19	0.12	And
191.31	0.06	then
191.37	0.12	she
191.49	0.19	folks
191.68	0.13	me
191.82	0.09	the
191.91	0.45	ribs
192.6	0.2	and
192.8	0.15	she
192.95	0.39	says
193.34	0.11	you
193.45	0.13	know
193.59	0.07	it's
193.66	0.13	not
193.79	0.08	the
193.87	0.29	fall
194.17	0.15	that
194.32	0.25	gets
194.57	0.22	you
194.95	0.08	a
195.03	0.33	sudden
195.36	0.49	stop
195.85	0.14	And
195.99	0.14	she
196.13	0.39	giggles
196.52	0.24	because
196.76	0.16	it's
196.92	0.1	a
197.02	0.56	joke
198.16	0.32	Not
198.48	0.1	the
198.58	0.4	funniest
198.98	0.32	joke
199.35	0.16	I've
199.51	0.18	ever
199.69	0.34	heard
201.04	0.21	She
201.25	0.25	kicks
201.5	0.23	over
201.73	0.07	a
201.8	0.45	blue
202.27	0.51	plastic
202.8	0.26	milk
203.06	0.3	crate
203.7	0.29	better
204.1	0.25	foot
204.35	0.42	tall
204.83	0.11	She
204.94	0.14	tells
205.08	0.07	me
205.35	0.13	to
205.48	0.28	hop
205.76	0.3	up
206.45	0.2	and
206.65	0.15	she
206.8	0.28	tells
207.08	0.22	me
207.55	0.13	to
207.68	0.27	jump
207.97	0.19	off
208.16	0.13	of
208.29	0.29	it
208.95	0.25	jump
209.21	0.18	off
209.39	0.12	of
209.51	0.18	it
209.86	0.14	and
210.0	0.09	my
210.09	0.27	feet
210.36	0.36	raise
210.72	0.2	these
210.93	0.18	two
211.11	0.2	little
211.31	0.18	kind
211.49	0.13	of
211.64	0.25	dust
211.92	0.47	clouds
212.39	0.21	like
212.6	0.3	Neil
212.9	0.79	Armstrong
214.21	0.46	And
214.69	0.19	she
214.88	0.15	gives
215.03	0.09	me
215.12	0.12	the
215.24	0.3	thumbs
215.54	0.23	up
215.79	0.25	like
216.04	0.13	I've
216.17	0.15	got
216.33	0.12	the
216.45	0.21	right
216.66	0.56	stuff
218.53	0.22	And
218.75	0.28	then
219.04	0.27	she
219.31	0.27	says
219.58	0.09	we're
219.67	0.09	going
219.76	0.07	to
219.83	0.16	do
219.99	0.16	it
220.21	0.19	I'm
220.41	0.05	going
220.46	0.02	to
220.51	0.16	teach
220.67	0.05	you
220.72	0.08	how
220.8	0.07	to
220.87	0.21	do
221.13	0.15	a
221.28	0.23	drop
221.51	0.12	in
221.63	0.44	roll
222.5	0.17	which
222.67	0.18	is
222.89	0.33	maneuver
