onset	duration	stimulus
26.59	0.14	You
26.73	0.21	know
27.12	0.14	you
27.26	0.13	have
27.39	0.14	any
27.53	0.2	idea
27.73	0.37	how
28.11	0.63	dangerous
28.74	0.13	how
28.89	0.58	terrifying
29.47	0.14	how
29.61	0.55	illegal
30.16	0.21	that
30.37	0.52	probably
30.89	0.74	was
32.87	0.11	up
32.98	0.07	in
33.05	0.1	the
33.15	0.5	plane
33.92	0.15	she
34.07	0.22	shows
34.29	0.09	me
34.38	0.14	this
34.52	0.29	canvas
34.82	0.35	strap
35.18	0.13	which
35.31	0.12	is
35.43	0.19	called
35.62	0.06	the
35.69	0.51	static
36.2	0.3	line
36.56	0.31	attached
36.88	0.08	to
36.96	0.1	the
37.06	0.3	plane
37.38	0.11	and
37.49	0.09	it's
37.58	0.31	attached
37.89	0.06	to
37.95	0.13	my
38.08	0.4	shoot
38.97	0.32	And
39.29	0.12	she
39.41	0.04	says
39.62	0.25	wait
39.87	0.23	wait
40.1	0.26	hey
40.37	0.2	you
40.57	0.26	did
40.83	0.17	it
41.0	0.44	right
41.9	0.31	Before
42.21	0.15	it's
42.36	0.23	too
42.59	0.51	late
44.18	0.2	Which
44.38	0.05	would
44.44	0.11	be
44.55	0.36	true
44.93	0.12	if
45.05	0.1	she
45.15	0.1	were
45.25	0.32	teaching
45.57	0.09	me
45.66	0.12	to
45.78	0.27	jump
46.05	0.18	off
46.23	0.07	a
46.31	0.25	milk
46.57	0.45	crate
49.22	0.13	I
49.35	0.12	could
49.47	0.13	have
49.6	0.22	gotten
49.82	0.11	my
49.93	0.48	diploma
50.41	0.13	and
50.54	0.15	just
50.69	0.22	gone
50.91	0.34	home
51.88	0.45	And
52.36	0.19	she
52.55	0.14	gives
52.69	0.1	me
52.79	0.11	the
52.9	0.3	thumbs
53.2	0.24	up
53.46	0.24	like
53.7	0.14	I've
53.84	0.15	got
54.0	0.11	the
54.11	0.22	right
54.33	0.56	stuff
56.08	0.16	So
56.24	0.09	I
56.37	0.2	can
56.58	0.65	really
57.23	0.3	hear
57.53	0.17	my
57.7	0.33	heart
58.89	0.06	pounding
60.73	0.24	I
61.2	0.09	don't
61.29	0.11	know
61.4	0.05	a
61.45	0.17	lot
61.62	0.18	about
61.8	0.6	skydiving
62.7	0.39	but
63.69	0.47	think
64.18	0.31	that
64.51	0.15	you
64.66	0.27	know
64.93	0.4	a
65.34	0.39	working
65.73	0.3	shoot
66.03	0.27	lens
66.3	0.13	to
66.43	0.06	a
67.32	0.26	better
67.58	0.46	jump
68.14	0.59	especially
68.91	0.24	towards
69.15	0.15	the
69.3	0.45	end
71.19	0.37	And
72.05	0.17	like
72.22	0.11	they
72.33	0.28	dropped
72.61	0.08	it
72.69	0.1	on
72.79	0.14	his
72.95	0.36	corner
73.31	0.17	when
73.46	0.08	they
73.54	0.48	unloaded
74.02	0.17	it
74.54	0.24	And
74.78	0.16	I'm
74.94	0.22	just
75.16	0.21	like
75.39	0.75	praying
76.14	0.13	my
76.27	0.29	life
76.56	0.27	doesn't
76.83	0.34	flash
77.17	0.33	before
77.5	0.19	my
77.69	0.68	eyes
78.44	0.2	and
78.64	0.21	ruin
78.85	0.1	the
78.95	0.27	last
79.22	0.28	couple
79.5	0.02	of
79.53	0.38	minutes
79.91	0.11	I
80.31	0.27	have
91.85	0.13	So
91.98	0.11	I'm
92.37	0.1	the
92.47	0.24	power
92.71	0.35	lines
93.35	0.22	down
93.57	0.22	below
93.79	0.2	me
93.99	0.13	and
94.12	0.12	like
94.24	0.94	reflecting
95.19	0.12	you
95.31	0.15	know
95.46	0.18	just
95.64	0.54	reflexively
96.18	0.14	kind
96.32	0.05	of
96.4	0.39	squeezing
96.79	0.11	my
96.9	0.43	legs
97.58	0.38	together
97.96	0.1	so
98.06	0.12	that
98.18	0.05	I
98.23	0.21	won't
98.45	0.38	die
99.01	0.49	sliced
99.5	0.12	up
99.62	0.09	the
99.72	0.31	middle
101.41	0.09	For
101.5	0.07	the
101.57	0.18	next
101.76	0.2	two
101.96	0.5	hours
102.73	0.13	we
102.86	0.17	kind
103.03	0.08	of
103.12	0.59	gradually
103.71	0.6	raise
104.32	0.15	the
104.48	0.46	diving
104.94	0.75	platform
105.69	0.14	the
106.21	0.4	practice
106.62	0.55	platform
107.17	0.12	from
107.29	0.17	this
107.46	0.21	milk
107.68	0.26	crate
107.95	0.12	to
108.07	0.07	a
108.14	0.34	kitchen
108.48	0.31	chair
108.79	0.11	to
108.9	0.06	an
108.96	0.46	aluminum
109.82	0.37	in
110.21	0.1	a
110.31	0.21	love
110.52	0.08	of
110.6	0.42	sick
111.1	0.15	you
111.25	0.16	know
111.46	0.73	trance
112.23	0.14	And
112.37	0.13	I'll
112.5	0.26	do
112.76	0.62	anything
