onset	duration	stimulus
15.09	0.08	I
15.17	0.34	began
15.51	0.15	my
16.06	0.25	illustrious
16.33	0.61	career
17.08	0.13	in
17.21	0.72	journalism
18.47	0.13	in
18.6	0.08	the
18.68	0.56	Bronx
19.24	0.15	where
19.39	0.11	I
19.5	0.59	toiled
20.36	0.14	as
20.5	0.06	a
20.56	0.55	hardballed
21.12	0.79	reporter
22.09	0.15	for
22.24	0.12	the
22.36	0.41	ramp
23.93	0.17	the
24.1	0.52	student
24.63	0.64	newspaper
25.27	0.12	at
25.39	0.3	Fordham
25.69	0.72	University
27.09	0.24	One
27.33	0.16	day
27.49	0.1	I'm
27.59	0.28	walking
27.87	0.18	toward
28.05	0.07	the
28.12	0.31	campus
28.43	0.34	center
28.96	0.17	and
29.14	0.19	out
29.33	0.22	comes
29.58	0.11	the
29.69	0.69	elusive
30.61	0.39	Dean
31.0	0.66	McGowan
32.3	0.52	architect
32.82	0.09	of
32.91	0.09	a
33.01	0.76	policy
34.07	0.14	to
34.21	0.48	replace
35.09	0.1	Fordham's
35.2	0.81	traditionally
36.42	0.61	working
37.05	0.07	to
37.15	0.22	middle
37.37	0.3	class
37.67	0.61	students
38.74	0.38	with
39.23	0.56	wealthier
39.79	0.06	and
39.86	0.18	more
40.04	0.64	prestigious
40.68	0.57	ones
42.21	0.17	So
42.38	0.08	I
42.46	0.19	whip
42.65	0.11	out
42.76	0.12	my
42.88	0.32	notebook
43.2	0.1	and
43.3	0.07	I
43.37	0.13	go
43.5	0.11	up
43.61	0.11	to
43.72	0.1	him
43.82	0.11	and
43.93	0.08	I
44.01	0.17	say
44.18	0.36	Dean
44.54	0.43	McGowan
45.42	0.15	is
45.57	0.13	it
45.72	0.38	true
46.1	0.15	that
46.25	0.27	Fordham
46.52	0.5	University
47.02	0.27	plans
47.29	0.12	to
47.41	0.31	raise
47.72	0.41	tuition
48.13	0.73	substantially
48.86	0.2	above
49.07	0.1	the
49.17	0.5	inflation
49.67	0.23	rate
50.06	0.14	And
50.2	0.14	if
50.34	0.58	so
51.16	0.25	wouldn't
51.41	0.13	that
51.54	0.1	be
51.64	0.05	a
51.69	0.54	betrayal
52.23	0.08	of
52.31	0.14	its
52.46	0.52	mission
54.72	0.12	And
54.84	0.11	he
54.95	0.56	stops
55.52	0.11	and
55.63	0.17	looks
55.8	0.12	at
55.92	0.64	me
57.1	0.12	and
57.22	0.1	he
57.32	0.58	says
58.66	0.25	listen
58.91	0.14	up
59.06	0.54	punk
59.82	0.18	And
60.0	0.26	right
60.26	0.28	then
60.55	0.23	there's
60.78	0.1	a
60.9	0.68	blur
