onset	duration	stimulus
8.71	0.13	I
9.76	0.05	began
9.81	0.02	my
10.0	0.01	illustrious
10.09	0.51	career
10.87	0.47	heart
11.34	0.17	bowl
11.73	0.56	reporter
12.4	0.02	in
12.42	0.02	the
12.61	0.36	Bronx
13.32	0.26	where
13.58	0.41	I
14.17	0.42	toiled
14.6	0.16	for
14.76	0.14	the
14.91	0.46	RAM
16.75	0.17	Fordham
17.09	0.51	University's
18.51	0.57	newspaper
19.66	0.21	One
19.87	0.24	day
20.3	0.3	walked
20.75	0.19	toward
20.94	0.02	the
21.14	0.35	campus
21.49	0.28	center
22.39	0.14	the
22.53	0.64	elusive
23.61	0.4	Dean
24.29	0.38	McGowan
25.31	0.36	architect
26.06	0.52	policy
26.73	0.02	to
26.75	0.43	replace
27.53	0.72	traditionally
30.43	0.01	Fordham's
30.44	0.45	traditionally
30.89	0.54	working
31.82	0.2	middle
32.02	0.3	class
32.33	0.29	students
33.16	0.24	with
33.51	0.84	wealthier
34.63	0.17	more
34.8	0.65	prestigious
35.45	0.17	ones
36.26	0.11	So
36.54	0.24	whip
36.78	0.17	out
36.95	0.19	my
37.14	0.43	notebook
37.98	0.29	march
38.27	0.2	right
38.48	0.15	up
39.99	0.02	to
40.01	0.02	the
40.2	0.47	McGowan
40.88	0.13	is
41.01	0.08	it
41.21	0.28	true
41.49	0.22	that
41.71	0.51	Fordham
42.3	0.34	plans
42.68	0.15	to
42.83	0.23	raise
43.18	0.22	tuition
43.82	0.46	substantially
44.28	0.2	above
44.48	0.16	the
44.75	0.34	leisure
45.09	0.22	rate
45.46	0.08	And
45.7	0.02	if
45.91	0.14	so
46.52	0.19	with
46.71	0.13	that
46.85	0.02	the
47.04	0.67	betrayal
47.91	0.02	of
47.93	0.03	its
47.96	0.39	admission
49.55	0.27	he
49.82	0.09	looks
50.14	0.02	at
50.16	0.16	me
50.32	0.24	like
50.61	0.42	what
51.37	0.19	are
51.56	0.11	you
52.0	0.36	talking
52.37	0.29	about
54.19	0.18	And
54.37	0.15	then
54.53	0.24	right
54.77	0.17	then
55.05	0.15	the
55.22	0.39	corner
55.61	0.09	of
55.7	0.2	my
55.95	0.29	eye
56.25	0.23	comes
56.63	0.14	this
57.59	0.4	blur
58.26	0.17	which
58.49	0.4	becomes
59.23	0.02	the
59.38	0.51	figure
60.06	0.23	in
60.29	0.16	a
60.46	0.34	load
60.8	0.49	ranger's
61.43	0.1	mask
62.48	0.39	standing
62.87	0.26	next
63.14	0.09	to
63.23	0.39	me
63.67	0.19	with
63.86	0.05	a
63.91	0.28	green
64.19	0.25	pie
64.44	0.22	which
64.66	0.39	becomes
65.05	0.09	a
65.19	0.66	guy
66.44	0.23	with
66.67	0.05	a
66.72	0.32	green
67.04	0.51	pie
67.66	0.19	that
68.11	0.74	mashing
69.28	0.16	into
69.44	0.08	Dean
69.52	0.42	McGowan's
71.93	0.22	And
72.15	0.23	then
72.81	0.29	runs
73.1	0.25	away
75.2	0.11	The
75.31	0.37	Dean
76.51	0.02	is
76.53	0.25	covered
77.01	0.11	with
77.12	0.04	green
77.16	0.02	So
78.44	0.17	I
