onset	duration	stimulus
8.29	0.17	When
21.15	0.1	the
21.25	0.31	phone
21.56	0.43	rang
22.07	0.12	the
22.19	0.26	grey
22.45	0.23	haired
22.68	0.29	man
22.99	0.28	asked
23.27	0.1	the
23.37	0.33	girl
23.71	0.21	with
23.95	0.3	quite
24.25	0.25	some
24.5	0.22	little
24.72	0.59	deference
25.74	0.16	if
25.9	0.12	she
26.02	0.18	would
26.2	0.28	rather
26.48	0.15	for
26.63	0.21	any
26.84	0.38	reason
27.22	0.12	he
27.34	0.22	didn't
27.56	0.35	answer
27.91	0.21	it
28.91	0.14	The
29.05	0.29	girl
29.34	0.23	heard
29.57	0.17	him
29.74	0.15	as
29.89	0.1	if
30.0	0.2	from
30.2	0.06	a
30.26	0.59	distance
30.85	0.23	and
31.08	0.26	turned
31.34	0.13	her
31.47	0.28	face
31.75	0.29	toward
32.04	0.19	him
32.51	0.27	one
32.78	0.24	eye
33.02	0.13	on
33.15	0.08	the
33.23	0.23	side
33.46	0.12	of
33.58	0.08	the
33.66	0.31	light
34.0	0.38	close
34.41	0.35	tight
35.2	0.18	Her
35.38	0.34	open
35.72	0.17	eye
35.89	0.37	very
36.26	0.45	however
37.11	1.05	disingenuously
38.17	0.5	large
38.98	0.2	and
39.18	0.21	so
39.39	0.32	blue
39.71	0.14	as
39.85	0.12	to
39.97	0.39	appear
40.38	0.46	almost
40.85	0.51	violet
42.22	0.12	The
42.34	0.24	grey
42.58	0.24	haired
42.82	0.26	man
43.11	0.33	asked
43.44	0.13	her
43.57	0.12	to
43.69	0.37	hurry
44.06	0.18	up
44.24	0.14	and
44.38	0.19	she
44.57	0.43	raised
45.0	0.19	up
45.19	0.14	on
45.33	0.17	her
45.5	0.27	right
45.77	0.58	forearm
46.35	0.25	just
46.61	0.41	quickly
47.02	0.31	enough
47.77	0.17	so
47.94	0.16	that
48.1	0.09	the
48.19	0.45	movement
48.64	0.31	didn't
48.95	0.4	quite
49.35	0.19	look
49.55	0.7	perfunctory
51.33	0.17	She
51.5	0.26	cleared
51.76	0.12	her
51.88	0.27	hair
52.15	0.34	back
52.49	0.35	from
52.93	0.25	her
53.18	0.58	forehead
53.76	0.17	with
54.61	0.14	her
54.75	0.33	left
55.08	0.38	hand
55.46	0.16	and
55.62	0.39	said
56.75	0.4	God
57.99	0.12	I
58.11	0.16	don't
58.27	0.16	know
58.43	0.08	I
58.51	0.23	mean
58.79	0.16	what
58.95	0.05	do
59.0	0.14	you
59.14	0.41	think
60.57	0.08	The
60.65	0.24	grey
60.89	0.23	haired
61.12	0.27	man
61.39	0.27	said
61.67	0.19	he
62.07	0.31	didn't
62.38	0.31	see
62.69	0.16	that
62.85	0.17	it
63.3	0.28	made
63.58	0.09	a
63.67	0.22	hell
63.89	0.11	of
64.0	0.1	a
64.2	0.29	lot
64.49	0.16	of
64.65	0.51	difference
65.16	0.2	when
65.36	0.19	we're
65.55	0.14	the
65.69	0.31	other
66.46	0.15	and
66.61	0.3	slipped
66.91	0.18	his
67.09	0.27	left
67.36	0.28	hand
67.65	0.21	under
67.86	0.06	the
67.92	0.25	girl
68.17	0.48	supporting
68.67	0.4	arm
69.35	0.27	Above
