onset	duration	stimulus
6.25	0.87	Denys
7.18	0.3	It's
7.49	0.69	always
8.21	0.51	open
9.01	0.5	Forclaimed
9.52	0.41	Scott
9.93	0.14	as
10.07	0.13	he
10.2	0.39	opened
10.6	0.1	the
10.7	0.25	door
10.95	0.1	to
11.05	0.09	the
11.14	0.5	restaurant
12.05	0.21	his
12.26	0.33	son
12.59	0.44	Charlie
13.04	0.5	grimly
13.55	0.37	shuffled
13.94	0.15	through
14.09	0.11	the
14.2	0.32	door
14.52	0.4	kicking
14.92	0.35	snow
15.27	0.25	onto
15.52	0.17	the
15.69	0.38	entryway
16.1	0.4	carpet
17.01	0.09	I
17.1	0.26	don't
17.37	0.28	want
17.65	0.1	to
17.75	0.28	eat
18.03	0.5	here
18.57	0.2	He
18.78	0.43	mumbled
19.21	0.09	as
19.31	0.32	Scott
19.66	0.31	entered
19.97	0.35	behind
20.32	0.19	him
20.87	0.2	This
21.08	0.3	wasn't
21.38	0.2	how
21.58	0.1	he
21.68	0.11	had
21.84	0.42	pictured
22.26	0.53	spending
22.79	0.17	his
22.96	0.47	Christmas
23.43	0.04	Eve
24.29	0.22	What
24.51	0.06	are
24.57	0.12	you
24.69	0.37	talking
25.06	0.2	about
25.27	0.66	Everybody
25.93	0.31	likes
26.24	0.36	Denys
26.61	0.26	It's
26.9	0.17	an
27.07	0.71	American
27.87	1.1	institution
29.84	0.18	As
30.02	0.13	they
30.15	0.46	approached
30.62	0.12	the
30.74	0.43	hostess
31.17	0.42	stand
31.6	0.18	they
31.78	0.29	heard
32.08	0.1	a
32.18	0.4	loud
32.58	0.56	commotion
33.14	0.14	from
33.28	0.41	inside
33.69	0.09	the
33.78	0.49	restaurant
34.8	0.11	A
34.91	0.41	huge
35.32	0.45	table
35.77	0.13	of
35.9	0.57	Japanese
36.47	0.72	businessmen
37.19	0.14	were
37.33	0.56	excitedly
38.38	0.06	gesturing
38.45	0.09	to
38.54	0.13	one
38.67	0.32	another
38.99	0.14	and
39.14	0.54	erupting
39.68	0.02	in
40.14	0.23	uproars
40.38	0.15	of
40.53	0.51	laughter
41.51	0.44	Howard
41.95	0.6	waitresses
42.55	0.43	weaved
43.0	0.38	between
43.38	0.16	them
43.54	0.11	to
43.65	0.26	poor
43.91	0.46	refills
44.38	0.13	of
44.51	0.5	coffee
45.72	0.1	A
45.82	0.49	hostess
46.31	0.27	hurried
46.59	0.12	up
46.71	0.12	to
46.83	0.22	meet
47.05	0.2	them
47.79	0.13	Are
47.92	0.14	you
48.06	0.22	with
48.28	0.82	Hatsutashi
49.99	0.53	No
50.55	0.26	said
50.81	0.46	Charlie
51.47	0.39	Dad
51.87	0.31	burnt
52.2	0.16	the
52.39	0.57	turkey
53.68	0.3	Oh
53.98	0.45	yeah
54.66	0.24	This
54.9	0.26	way
55.16	0.21	come
56.0	0.25	said
56.25	0.07	the
56.32	0.55	hostess
56.92	0.49	motioning
57.42	0.21	them
57.63	0.2	toward
57.83	0.06	a
57.89	0.28	back
58.17	0.29	room
58.96	0.48	Several
59.44	0.25	other
59.69	0.47	families
60.17	0.3	sat
60.47	0.55	quietly
61.02	0.09	in
61.11	0.18	their
61.29	0.49	booths
61.78	0.18	and
61.96	0.15	one
62.11	0.13	of
62.24	0.07	the
62.31	0.41	fathers
62.73	0.38	sported
63.11	0.01	a
63.12	0.36	fresh
63.51	0.4	bandage
63.91	0.11	on
64.02	0.12	his
64.14	0.4	hand
65.0	0.28	He
65.28	0.17	and
65.45	0.38	Scott
65.89	0.39	nodded
66.28	0.15	to
66.43	0.15	each
66.58	0.18	other
66.76	0.1	in
66.86	0.06	a
66.92	0.4	gesture
67.32	0.11	of
67.43	0.77	solidarity
68.43	0.16	as
68.6	0.37	Scott
68.99	0.16	and
69.15	0.37	Charlie
69.52	0.2	took
69.72	0.16	their
69.88	0.49	seats
70.73	0.13	The
70.86	0.43	hostess
71.29	0.26	handed
71.56	0.13	the
71.69	0.53	menus
72.22	0.21	which
72.44	0.4	Charlie
72.87	0.65	reluctantly
73.52	0.47	opened
74.64	0.18	You
74.82	0.34	know
75.17	0.53	kneels
75.7	0.08	a
75.78	0.31	real
76.09	0.3	good
76.39	0.46	cook
77.32	0.2	He
