onset	duration	stimulus
6.46	0.48	Jerry
6.94	0.13	and
7.07	0.66	George
7.74	0.65	stroll
8.4	0.19	through
8.59	0.14	the
8.73	0.44	airport
9.19	0.17	with
9.36	0.18	their
9.54	1.09	suitcases
10.73	0.58	George
11.32	0.36	walked
11.7	0.47	quickly
12.18	0.63	grimacing
12.83	0.13	as
12.96	0.13	he
13.1	0.48	scanned
13.6	0.13	the
13.73	0.47	signs
14.2	0.11	to
14.31	0.28	figure
14.59	0.15	out
14.76	0.3	which
15.06	0.2	way
15.26	0.16	to
15.42	0.35	go
16.32	0.1	A
16.42	0.33	man
16.75	0.42	passing
17.17	0.29	by
17.48	0.57	sneezed
18.05	0.1	in
18.15	0.2	his
18.36	0.59	direction
19.26	0.4	causing
19.66	0.17	him
19.83	0.14	to
19.97	0.52	recoil
20.5	0.6	backwards
21.1	0.12	and
21.22	0.12	then
21.35	0.73	frantically
22.08	0.44	squirt
22.57	0.43	purell
23.01	0.28	onto
23.29	0.13	his
23.42	0.57	hands
24.57	0.43	Jerry
25.0	0.35	sauntered
25.39	0.12	up
25.52	0.41	behind
25.93	0.19	him
26.12	0.64	smiling
27.18	0.42	Just
27.6	0.89	relax
28.69	0.35	learn
29.06	0.13	to
29.19	0.44	love
29.63	0.15	the
29.78	0.54	airport
30.58	0.21	We're
30.79	0.26	all
31.08	0.21	out
31.29	0.21	here
31.52	0.44	moving
31.97	0.56	around
32.53	0.41	seeing
32.94	0.1	the
33.05	0.55	world
34.13	0.41	George
34.54	0.23	just
34.78	0.24	looked
35.02	0.07	at
35.09	0.19	him
35.28	0.19	like
35.47	0.16	he
35.63	0.15	had
35.78	0.37	gone
36.17	0.69	insane
37.55	0.22	They
37.77	0.33	rolled
38.11	0.17	up
38.28	0.12	to
38.4	0.16	the
38.56	0.21	end
38.78	0.12	of
38.9	0.08	the
38.98	0.47	security
39.45	0.35	line
40.11	0.16	and
40.28	0.41	Jerry
40.72	0.41	pointed
41.13	0.08	to
41.21	0.14	the
41.35	0.46	security
41.81	0.32	guard's
42.13	0.4	checking
42.53	0.38	boarding
42.91	0.61	passes
44.06	0.3	Check
44.38	0.17	out
44.56	0.37	these
44.93	0.43	high
45.38	0.46	caliber
45.84	0.64	individuals
46.48	0.13	they
46.61	0.19	have
46.81	0.37	working
47.18	0.09	at
47.27	0.24	X
47.51	0.15	ray
47.66	0.55	security
48.62	0.17	How
48.79	0.26	about
49.05	0.22	this
49.3	0.46	crack
49.76	0.43	squad
50.19	0.12	of
50.34	0.48	savvy
50.82	0.65	motivated
51.47	0.7	personnel
52.47	0.29	They've
52.78	0.52	chosen
53.3	0.13	to
53.43	0.34	stand
53.77	0.11	in
53.88	0.14	front
54.02	0.12	of
54.14	0.25	X
54.39	0.28	rays
54.7	0.55	14
55.27	0.4	hours
55.67	0.07	a
55.74	0.41	day
56.36	0.26	as
56.62	0.11	a
56.74	0.85	profession
58.47	0.19	They
58.66	0.19	put
58.85	0.12	their
58.98	0.38	bags
59.36	0.08	on
59.44	0.09	the
59.53	0.39	conveyor
59.92	0.3	belt
60.25	0.14	and
60.4	0.35	stepped
60.75	0.17	through
60.92	0.13	the
61.05	0.63	scanners
62.11	0.17	As
62.28	0.13	they
62.41	0.56	retrieved
62.99	0.21	their
63.2	0.57	shoes
63.78	0.4	Jerry
64.2	0.32	peered
64.52	0.31	over
64.83	0.1	at
64.93	0.13	the
65.06	0.27	X
65.33	0.17	ray
65.52	0.4	TV
65.92	0.39	screen
66.96	0.16	What
67.12	0.04	do
67.16	0.11	you
67.27	0.25	think
67.52	0.18	they're
67.7	0.48	looking
68.18	0.23	for
68.41	0.12	on
68.53	0.2	that
68.73	0.31	thing
69.29	0.21	I
69.5	0.31	can't
69.82	0.28	make
70.1	0.2	out
70.3	0.49	one
70.83	0.67	object
71.52	0.23	What's
71.75	0.26	that
72.27	0.16	A
72.44	0.32	hair
72.76	0.38	dryer
73.14	0.16	with
73.3	0.08	a
73.38	0.45	scope
73.83	0.16	on
73.99	0.15	it
74.33	0.29	Look
74.78	0.33	there's
75.11	0.21	some
75.32	0.22	sort
75.54	0.14	of
75.69	0.6	bowling
76.29	0.37	ball
76.68	0.57	candle
77.75	0.26	Would
78.01	0.18	you
78.21	0.52	stop
78.73	0.29	it
79.25	0.37	Snap
79.62	0.42	George
80.2	0.27	Let's
80.5	0.29	turn
80.79	0.19	off
80.98	0.12	the
81.1	0.43	comedy
81.53	0.42	routine
81.96	0.16	for
82.12	0.05	a
82.17	0.33	minute
82.54	0.26	Can
82.8	0.24	we
84.03	0.15	They
84.18	0.32	walked
84.52	0.35	past
84.89	0.1	the
84.99	0.19	gift
85.18	0.4	shops
85.62	0.3	looking
85.92	0.12	for
86.04	0.17	some
86.21	0.45	snacks
86.68	0.1	to
86.78	0.23	take
87.01	0.11	on
87.12	0.08	the
87.2	0.37	plane
88.09	0.48	George
88.59	0.25	peered
88.85	0.14	in
88.99	0.12	to
89.11	0.17	look
89.28	0.09	at
89.37	0.07	the
89.44	0.32	price
89.76	0.37	tags
90.16	0.14	and
90.31	0.25	shook
90.56	0.11	his
90.67	0.31	head
91.4	0.2	Do
91.6	0.12	the
91.72	0.38	people
92.1	0.14	that
92.25	0.28	work
92.53	0.1	in
92.63	0.18	these
92.81	0.4	shops
93.21	0.12	have
93.33	0.22	any
93.55	0.43	idea
93.98	0.1	where
94.08	0.11	the
94.19	0.45	prices
94.64	0.13	are
94.8	0.38	every
95.18	0.33	place
95.51	0.2	else
95.71	0.07	in
95.78	0.09	the
95.87	0.39	world
96.45	0.24	Yeah
96.95	0.24	eight
97.19	0.44	dollars
97.63	0.16	for
97.79	0.07	a
97.86	0.3	candy
98.16	0.15	bar
98.31	0.34	That's
98.66	0.36	fair
99.03	0.02	We
99.7	0.41	charge
100.28	0.08	in
100.36	0.18	our
100.54	0.59	country
102.0	0.3	After
102.3	0.31	waiting
102.61	0.1	for
102.71	0.17	their
102.88	0.3	turn
103.18	0.13	to
103.31	0.51	board
103.97	0.15	they
104.12	0.39	marched
104.51	0.2	down
104.71	0.09	the
