onset	duration	stimulus
6.12	0.59	Brandon
6.71	0.42	spotted
7.13	0.54	Marianne
7.67	0.11	at
7.78	0.06	a
7.84	0.44	table
8.28	0.09	as
8.37	0.21	soon
8.58	0.11	as
8.69	0.12	he
8.81	0.28	entered
9.09	0.08	the
9.17	0.63	restaurant
10.21	0.17	Though
10.38	0.1	he
10.48	0.18	was
10.67	0.47	already
11.14	0.29	running
11.43	0.25	late
11.69	0.15	he
11.84	0.3	stood
12.14	0.15	and
12.29	0.36	watched
12.65	0.11	her
12.76	0.14	for
12.9	0.04	a
12.94	0.34	moment
13.28	0.25	until
13.53	0.08	he
13.61	0.15	was
13.77	0.61	interrupted
14.38	0.11	by
14.49	0.13	the
14.62	0.5	host
15.64	0.16	Are
15.8	0.13	you
15.93	0.39	waiting
16.32	0.14	for
16.46	0.41	someone
16.87	0.34	sir
17.97	0.12	Oh
18.09	0.11	no
18.2	0.11	my
18.31	0.28	dates
18.59	0.28	here
18.87	0.26	thank
19.13	0.2	you
19.72	0.23	said
19.95	0.39	Brandon
20.35	0.18	and
20.53	0.33	walked
20.87	0.39	quickly
21.26	0.29	over
21.55	0.12	to
22.21	0.37	table
23.15	0.14	They
23.29	0.28	greeted
23.57	0.17	each
23.74	0.19	other
23.93	0.21	with
24.16	0.46	awkward
24.62	0.44	halos
25.06	0.14	as
25.2	0.39	Brandon
25.59	0.21	took
25.8	0.12	his
25.93	0.35	seat
27.09	0.16	Did
27.25	0.07	you
27.32	0.27	find
27.59	0.1	it
27.69	0.45	okay
28.31	0.18	He
28.49	0.46	asked
29.45	0.48	Yes
29.95	0.42	replied
30.37	0.41	Marianne
30.78	0.12	with
30.9	0.05	a
30.95	0.4	smile
31.92	0.18	You
32.1	0.19	look
32.29	0.51	handsome
33.54	0.3	You
33.84	0.2	look
34.04	0.68	amazing
35.42	0.09	A
35.51	0.15	way
35.66	0.13	to
35.79	0.36	approach
36.15	0.15	their
36.3	0.43	tables
36.73	0.18	with
36.91	0.54	menus
38.07	0.34	Welcome
38.41	0.05	I
38.46	0.15	have
38.61	0.06	a
38.67	0.18	few
38.85	0.46	specials
39.31	0.07	on
39.38	0.07	the
39.45	0.31	menu
39.76	0.11	If
39.87	0.13	you'd
40.0	0.15	like
40.15	0.11	to
40.26	0.18	hear
40.44	0.21	them
40.98	0.16	they
41.14	0.17	didn't
41.31	0.15	even
41.47	0.2	have
41.68	0.28	time
41.96	0.12	to
42.08	0.53	respond
42.61	0.25	before
42.86	0.13	he
42.99	0.42	launched
43.41	0.22	into
43.63	0.14	his
43.77	0.47	speech
44.51	0.18	He
44.69	0.41	finally
45.1	0.41	finished
45.52	0.43	asking
45.95	0.1	if
46.05	0.1	they
46.15	0.13	would
46.28	0.14	like
46.42	0.1	to
46.52	0.29	start
46.81	0.16	with
46.97	0.2	some
47.17	0.44	wine
48.1	0.28	Brandon
48.41	0.28	looked
48.69	0.08	at
48.77	0.63	Marianne
50.23	0.19	You
50.42	0.23	want
50.65	0.18	some
50.83	0.39	wine
51.31	0.48	White
51.95	0.45	Red
53.24	0.47	Red
53.87	0.19	she
54.06	0.39	nodded
54.77	0.77	Maybe
54.77	0.77	Pinot
56.25	0.49	noir
56.74	0.29	is
57.39	0.55	light
58.01	0.23	The
58.24	0.25	waiter
58.49	0.49	interrupted
58.98	0.14	If
59.12	0.2	you
59.47	0.3	like
59.77	0.18	it
60.34	0.28	light
62.06	0.13	he
62.19	0.38	trailed
62.57	0.18	off
62.79	0.57	awkwardly
64.27	0.38	Great
64.97	0.25	said
65.37	0.19	Brandonne
65.59	0.6	amused
66.79	0.39	Brandon
67.18	0.08	and
67.26	0.46	Marianne
67.72	0.22	made
67.94	0.3	small
68.24	0.24	talk
68.49	0.19	about
68.68	0.2	where
