onset	duration	stimulus
0.8	0.44	Let's
1.24	0.25	all
1.49	0.25	go
1.74	0.13	to
1.87	0.19	the
2.09	1.16	lobby
3.54	0.44	Let's
3.98	0.25	all
4.23	0.28	go
4.51	0.12	to
4.63	0.24	the
4.88	1.06	lobby
6.24	0.46	Let's
6.7	0.22	all
6.96	0.23	go
7.19	0.13	to
7.32	0.22	the
7.59	1.24	lobby
8.87	0.12	to
8.99	0.41	get
9.4	0.66	ourselves
10.09	0.09	a
10.18	0.33	treat
11.61	0.15	The
12.22	0.11	of
12.34	0.43	things
12.91	0.11	to
13.02	0.19	eat
14.36	0.14	The
14.5	0.66	popcorn
15.16	0.34	can't
15.51	0.26	be
15.77	0.39	beat
16.91	0.23	The
17.16	0.7	sparkling
17.86	0.41	drinks
18.27	0.05	are
18.32	0.29	just
18.62	1.07	dandy
19.92	0.11	The
20.03	0.59	chocolate
20.62	0.41	bars
21.03	0.1	and
21.29	0.02	the
21.31	0.97	candy
22.28	0.55	So
22.86	0.39	let's
23.25	0.23	all
23.48	0.3	go
23.78	0.12	to
23.9	0.21	the
24.12	1.1	lobby
25.48	0.12	to
25.6	0.42	get
26.02	0.66	ourselves
26.68	0.11	a
26.79	0.33	treat
28.35	0.43	Let's
28.78	0.24	all
29.02	0.27	go
29.29	0.12	to
29.41	0.25	the
29.67	2.25	lobby
32.35	0.14	to
32.49	0.45	get
32.94	0.62	ourselves
33.74	0.08	a
33.87	0.17	treat
34.04	0.01	A
44.85	0.38	small
45.23	0.57	triangle
45.82	0.75	overlapping
46.59	0.08	a
46.67	0.48	smaller
47.15	0.51	circle
47.67	0.47	slides
48.14	0.28	into
48.42	0.09	a
48.51	0.61	rectangle
49.71	0.09	The
49.8	0.45	triangle
50.26	0.35	touches
50.61	0.08	the
50.69	0.38	circle
51.08	0.18	which
51.29	0.42	glides
51.75	0.37	away
52.17	0.1	The
52.27	0.47	triangle
52.74	0.42	slides
53.16	0.16	to
53.32	0.1	it
53.42	0.13	and
53.6	0.3	circle
53.9	0.35	moves
54.31	0.34	away
54.7	0.1	The
54.8	0.45	triangle
55.27	0.25	comes
55.52	0.18	into
55.7	0.53	contact
