onset	duration	stimulus
0.8	0.44	Let's
1.24	0.25	all
1.49	0.25	go
1.74	0.13	to
1.87	0.19	the
2.09	1.16	lobby
3.54	0.44	let's
3.98	0.25	all
4.23	0.28	go
4.51	0.12	to
4.63	0.24	the
4.88	1.06	lobby
6.24	0.46	Let's
6.7	0.22	all
6.96	0.23	go
7.19	0.13	to
7.32	0.22	the
7.59	1.24	lobby
8.87	0.12	to
8.99	0.41	get
9.4	0.66	ourselves
10.09	0.09	a
10.18	0.33	treat
11.61	0.15	The
12.3	0.03	less
12.33	0.03	you'll
12.37	0.38	think
12.93	0.09	to
13.02	0.33	eat
14.36	0.14	The
14.5	0.66	popcorn
15.16	0.34	can't
15.51	0.26	be
15.77	0.39	beat
16.91	0.23	The
17.16	0.7	sparkling
17.86	0.41	drinks
18.27	0.05	are
18.32	0.29	just
18.62	1.09	dandy
19.27	0.4	The
20.04	0.58	chocolate
20.62	0.41	bars
21.03	0.1	and
21.29	0.02	the
21.31	0.97	candy
22.28	0.55	So
22.86	0.39	let's
23.25	0.23	all
23.48	0.3	go
23.78	0.12	to
23.9	0.21	the
24.12	1.1	lobby
25.48	0.12	to
25.6	0.42	get
26.02	0.66	ourselves
26.68	0.11	a
26.79	0.33	treat
28.35	0.43	Let's
28.78	0.24	all
29.02	0.27	go
29.29	0.12	to
29.41	0.25	the
29.67	2.26	lobby
32.34	0.09	to
32.49	0.11	get
32.6	0.07	ourselves
44.81	0.01	A
44.82	0.33	young
45.15	0.47	boy
45.76	0.53	carrying
46.29	0.05	a
46.34	0.38	ball
46.78	0.38	goes
47.16	0.11	to
47.27	0.13	an
47.41	0.34	empty
47.75	0.61	playground
48.37	0.13	to
48.5	0.28	play
48.78	0.17	by
48.95	0.52	himself
49.73	0.11	The
49.84	0.27	boy
50.11	0.36	kicks
50.47	0.1	the
50.57	0.35	ball
50.96	0.19	and
51.15	0.13	then
51.3	0.48	dashes
51.81	0.37	after
52.18	0.12	it
52.36	0.16	He
52.52	0.32	lines
52.84	0.14	up
52.98	0.11	his
53.09	0.3	shot
53.4	0.18	and
53.58	0.29	kicks
53.87	0.09	the
53.96	0.23	ball
54.21	0.37	again
