onset	duration	stimulus
23.17	0.11	Music
29.71	0.03	Okay
29.74	0.02	so
29.93	0.09	they
31.23	0.57	began
31.8	0.22	with
32.02	0.29	like
32.31	0.01	a
32.95	0.58	dream
33.64	0.45	sequence
34.23	0.58	of
35.61	0.1	a
35.71	0.68	shootout
36.43	0.14	It's
36.8	0.29	during
37.09	0.13	the
37.25	0.45	day
38.12	0.15	It
39.8	0.04	looks
39.84	0.03	like
40.26	0.14	in
40.65	0.29	some
41.1	0.07	sort
41.17	0.19	of
41.8	0.05	the
42.02	0.56	shovel
42.76	0.28	like
43.31	0.31	half
43.62	0.6	decomposed
44.22	0.57	building
45.57	0.04	There's
45.78	0.05	a
45.83	0.26	lot
46.09	0.43	of
46.81	0.42	guys
47.28	0.6	in
48.05	0.23	our
48.28	0.26	make
48.54	0.42	ear
49.28	0.5	shooting
50.37	0.03	It's
50.4	0.04	very
50.44	0.53	chaotic
51.2	0.05	You
51.25	0.26	can't
51.55	0.34	really
51.92	0.14	make
52.17	0.25	out
52.46	0.26	any
52.88	0.16	faces
53.31	0.34	or
53.89	0.28	really
54.18	0.6	people
56.56	0.15	And
56.93	0.38	so
57.33	0.46	that
58.49	0.27	cuts
58.76	0.15	out
58.91	0.16	really
59.07	0.68	quickly
59.91	0.03	and
60.13	0.51	man
60.99	0.12	of
61.11	0.3	like
61.44	0.39	start
61.93	0.13	out
62.06	0.15	of
62.22	0.18	the
62.66	0.34	bed
63.0	0.21	and
63.25	0.52	start
63.82	0.02	It
63.85	0.22	looks
64.07	0.17	like
64.39	0.03	it's
64.42	0.02	in
64.44	0.02	the
64.46	0.32	middle
64.78	0.02	of
64.8	0.06	the
64.86	0.23	night
65.09	0.04	or
65.13	0.59	something
66.31	0.45	And
66.77	0.02	so
66.79	0.02	he
68.76	0.14	just
68.92	0.16	kind
69.08	0.07	of
69.56	0.04	sits
69.6	0.09	up
70.74	0.4	there
72.21	0.44	keeping
72.68	0.17	for
72.87	0.05	a
72.92	0.36	while
73.56	0.03	like
73.59	0.02	he
73.61	0.04	just
73.65	0.14	woke
73.81	0.12	up
73.93	0.11	on
74.04	0.09	the
74.13	0.19	night
74.37	0.15	air
74.52	0.18	which
74.7	0.17	is
75.15	0.23	what
75.38	0.23	we
75.84	0.18	that
76.05	0.24	dream
76.29	0.23	was
77.68	0.02	So
79.22	0.18	then
79.4	0.14	it
79.54	0.28	cuts
79.82	0.3	out
80.85	0.02	to
81.04	0.3	the
81.6	0.31	haytime
82.61	0.17	get
82.79	0.41	like
83.72	0.38	his
84.5	0.66	apartment
85.16	0.21	and
85.37	0.18	he's
86.25	0.18	like
86.87	0.43	walking
87.3	0.29	around
87.59	0.1	They
87.69	0.18	have
87.87	0.07	a
87.94	0.37	shot
88.35	0.17	of
88.61	0.27	his
88.91	0.42	mug
89.33	0.18	which
89.51	0.21	has
89.76	0.2	some
89.96	0.24	kind
90.2	0.16	of
90.36	0.31	like
91.47	0.4	sign
91.87	0.18	on
92.05	0.16	it
92.27	0.16	like
92.43	0.26	a
92.81	0.41	crest
93.27	0.48	almost
94.24	0.24	And
94.48	0.32	then
95.44	0.04	there's
95.65	0.08	like
95.73	0.05	a
95.78	0.25	quick
96.03	0.28	shot
96.31	0.17	too
96.48	0.14	of
96.62	0.14	like
96.76	0.07	a
96.83	0.24	gun
97.07	0.11	and
97.18	0.06	a
97.24	0.49	notebook
98.23	0.24	And
98.47	0.36	then
98.89	0.27	it
99.2	0.3	cuts
99.67	0.18	to
99.85	0.38	another
100.23	0.35	clip
100.69	0.55	of
102.07	0.27	the
102.38	0.27	same
102.66	0.28	man
102.97	0.29	sitting
103.26	0.16	in
103.45	0.28	front
103.74	0.27	of
104.01	0.24	what
104.25	0.22	we
104.48	0.14	can
104.62	0.08	assume
104.9	0.12	this
105.02	0.02	is
105.2	0.58	therapist
106.48	0.48	And
108.75	0.17	they're
108.98	0.78	talking
110.32	0.08	she
110.4	0.35	says
110.76	0.41	something
111.57	0.19	still
111.76	0.25	having
112.01	0.22	fresh
112.31	0.47	issues
112.78	0.3	and
113.4	0.1	or
113.5	0.29	no
113.99	0.22	She
114.21	0.36	writes
114.59	0.34	that
114.95	0.16	and
115.11	0.33	then
115.72	0.45	he
116.32	0.26	reads
116.58	0.12	it
116.7	0.23	upside
116.98	0.29	down
117.27	0.27	and
117.77	0.3	asks
118.13	0.26	her
118.39	0.23	like
118.64	0.32	about
118.96	0.31	writing
119.28	0.27	that
119.57	0.21	and
119.78	0.22	then
120.82	0.27	she
121.26	0.28	confronts
121.54	0.12	him
121.66	0.41	about
122.12	0.37	reading
122.49	0.21	her
122.7	0.29	writing
123.0	0.29	upside
123.29	0.27	down
123.56	0.26	and
123.93	0.02	a
123.95	0.2	very
124.15	0.21	tense
124.36	0.58	situation
126.66	0.19	And
126.85	0.31	then
127.54	0.3	that
127.87	0.54	immediately
128.43	0.29	cuts
128.72	0.29	out
129.39	0.53	and
130.13	0.15	we
130.28	0.02	see
132.63	0.01	a
132.64	0.41	blind
133.05	0.59	woman
