onset	duration	stimulus
24.52	0.03	This
24.72	0.15	is
24.9	0.1	the
25.0	0.32	story
25.32	0.12	of
25.44	0.15	my
25.59	0.25	first
25.87	0.65	landlord
26.8	0.12	my
26.92	0.25	first
27.17	0.44	department
27.61	0.08	in
27.69	0.08	New
27.77	0.42	York
29.0	0.1	I
29.1	0.21	think
29.31	0.11	I'm
29.42	0.11	going
29.53	0.09	to
29.63	0.24	call
29.87	0.27	it
30.32	0.54	rent
34.38	0.16	I
34.54	0.29	first
34.83	0.26	came
35.09	0.13	up
35.22	0.2	here
35.42	0.29	from
35.88	0.35	South
36.23	0.71	Carolina
37.61	0.33	like
37.98	0.53	apparently
38.58	0.15	or
38.73	0.21	North
38.94	0.39	Carolina
39.33	0.15	like
39.48	0.33	everybody
39.82	0.12	in
39.94	0.3	this
40.56	0.13	on
40.69	0.08	the
40.77	0.31	stage
41.08	0.35	tonight
42.12	0.23	back
42.35	0.08	in
42.43	0.08	the
42.51	0.27	early
42.79	0.42	80s
43.62	0.21	And
43.83	0.06	I
43.89	0.16	was
44.05	0.22	living
44.27	0.12	on
44.39	0.31	people's
44.7	0.48	floors
45.18	0.05	and
45.29	0.01	I
45.3	0.09	was
45.39	0.2	trying
45.59	0.06	to
45.65	0.23	find
45.88	0.11	an
45.99	0.55	apartment
47.38	0.2	And
47.58	0.04	I
47.62	0.14	don't
47.76	0.07	know
47.83	0.09	if
47.92	0.15	you'll
48.07	0.38	remember
48.45	0.15	what
48.6	0.08	it
48.68	0.13	was
48.82	0.19	like
49.01	0.1	to
49.11	0.11	get
49.22	0.12	an
49.34	0.48	apartment
49.82	0.23	in
51.4	0.38	1981
51.99	0.22	Some
52.21	0.11	of
52.32	0.09	you
52.41	0.13	may
52.54	0.26	not
52.8	0.3	but
53.46	0.21	it
53.94	0.24	was
54.36	0.48	required
54.84	0.08	that
54.93	0.1	you
55.03	0.14	sort
55.17	0.12	of
55.29	0.26	commit
55.55	0.05	a
55.6	0.64	crime
56.69	0.08	There
56.77	0.12	was
56.89	0.12	all
57.01	0.27	sorts
57.28	0.15	of
57.43	0.11	sort
57.54	0.25	of
57.83	0.5	sub
