onset	duration	stimulus
0.12	0.36	Tonight
0.69	0.11	a
0.8	0.41	story
1.21	0.25	by
1.47	0.41	Frederick
1.88	0.3	Paul
3.18	0.51	tunnel
3.74	0.3	under
4.04	0.13	the
9.86	0.04	world
13.0	0.22	On
13.22	0.09	the
13.31	0.41	morning
13.76	0.23	of
13.99	0.27	June
14.74	0.22	15
15.54	0.34	Guy
15.89	0.22	Berkhardt
16.93	0.13	woke
17.23	0.16	up
17.83	0.63	screaming
22.26	0.14	It
22.41	0.25	was
22.66	0.36	more
23.02	0.43	real
23.45	0.15	than
23.6	0.22	any
23.82	0.43	dream
24.26	0.11	he
24.48	0.2	ever
24.68	0.25	had
24.93	0.1	in
25.03	0.15	his
25.18	0.29	life
26.27	0.13	He
26.4	0.18	could
26.58	0.39	still
26.97	0.36	hear
27.33	0.21	and
27.54	0.43	feel
27.97	0.2	that
28.18	0.4	sharp
28.63	0.61	metal
29.24	0.38	ripping
29.62	0.8	explosion
30.7	0.18	that
31.06	0.59	searing
31.66	0.46	wave
32.12	0.12	of
32.24	0.26	heat
33.34	0.13	He
33.47	0.26	sat
33.73	0.26	up
34.21	0.3	Mary
35.41	0.38	Mary
37.19	0.47	Mary
37.82	0.16	Where
37.98	0.15	are
38.13	0.25	you
38.91	0.04	Guy
39.39	0.31	what's
40.01	0.26	wrong
40.28	0.28	You're
41.19	0.16	Where
41.35	0.17	were
41.52	0.21	you
41.95	0.09	the
42.04	0.37	kitchen
42.41	0.3	cooking
42.71	0.45	breakfast
43.16	0.13	What
43.29	0.17	is
43.46	0.24	it
44.61	0.01	I
44.62	0.03	don't
44.66	0.32	know
45.16	0.01	a
45.17	0.24	dream
45.41	0.07	I
45.48	0.28	guess
46.16	0.14	An
46.3	0.75	explosion
47.23	0.16	Did
47.39	0.13	you
47.52	0.18	say
47.7	0.08	an
47.78	0.67	explosion
48.67	0.52	Yes
49.73	0.15	But
49.88	0.22	that's
50.1	0.1	the
50.2	0.31	dream
50.51	0.09	I
50.71	0.37	had
51.73	0.32	What
52.46	0.15	I
52.63	0.27	dreamed
52.9	0.05	there
52.95	0.15	was
53.1	0.04	a
53.14	0.23	big
53.37	0.64	explosion
54.01	0.33	and
54.34	0.16	then
54.5	0.38	something
54.88	0.19	sort
55.07	0.14	of
55.3	0.24	hit
55.54	0.16	me
55.7	0.12	on
55.82	0.08	the
55.9	0.48	head
57.23	0.16	Oh
57.39	0.15	he
57.54	0.24	smokes
57.95	0.17	me
59.17	0.19	Maybe
59.36	0.11	there
59.47	0.23	really
59.7	0.31	was
60.02	0.21	some
60.23	0.19	sort
60.42	0.1	of
60.52	0.63	explosion
61.24	0.44	started
61.68	0.04	a
61.72	0.44	streaming
62.96	0.21	Well
63.18	0.22	there'll
63.4	0.12	be
63.52	0.09	an
63.61	0.57	explosion
64.18	0.19	down
64.37	0.11	at
64.48	0.15	your
64.63	0.33	office
64.96	0.1	if
65.06	0.08	you
65.14	0.21	don't
65.35	0.28	hurry
65.63	0.13	and
65.76	0.18	get
65.94	0.13	to
66.07	0.4	work
78.56	0.35	Coming
78.91	0.26	in
79.19	0.14	on
79.33	0.1	the
79.43	0.59	bus
80.09	0.5	Berkhardt
80.62	0.34	watched
80.98	0.12	to
81.1	0.29	see
81.39	0.16	if
81.55	0.16	there
81.71	0.25	was
82.04	0.25	any
82.29	0.51	evidence
82.8	0.13	of
82.94	0.08	an
83.02	0.77	explosion
84.43	0.14	There
84.57	0.24	wasn't
85.68	0.14	If
85.82	0.45	anything
86.28	0.08	the
86.36	0.31	town
86.67	0.26	looked
86.99	0.31	better
87.3	0.13	than
87.43	0.35	ever
88.33	0.15	The
88.48	0.22	only
88.7	0.25	thing
88.95	0.15	that
89.1	0.45	seemed
89.56	0.72	strange
90.28	0.14	to
90.42	0.29	him
91.15	0.18	was
91.41	0.21	fact
91.62	0.17	that
91.79	0.17	none
91.96	0.14	of
92.1	0.13	the
92.24	0.6	usual
92.86	0.44	crowd
93.31	0.21	was
93.52	0.18	on
93.7	0.1	the
93.8	0.48	bus
95.29	0.12	He
95.41	0.13	was
95.54	0.04	a
95.58	0.14	little
95.73	0.58	relieved
96.31	0.11	when
96.42	0.14	his
96.56	0.3	old
96.89	0.5	pal
