onset	duration	stimulus
6.84	0.47	Ryan
7.32	0.25	looked
7.58	0.19	up
7.77	0.15	from
7.92	0.17	his
8.09	0.38	boarding
8.47	0.38	pass
8.88	0.18	and
9.06	0.18	sighed
10.11	0.26	There
10.37	0.16	was
10.53	0.16	his
10.69	0.23	new
10.93	0.42	partner
11.35	0.53	Natalie
11.93	0.58	awkwardly
12.52	0.41	climbing
12.93	0.06	out
12.99	0.11	of
13.1	0.06	a
13.16	0.51	taxi
13.67	0.11	at
13.78	0.11	the
13.89	0.32	curb
14.21	0.1	of
14.31	0.14	the
14.45	0.52	airport
15.44	0.21	She
15.65	0.43	fumbled
16.09	0.16	with
16.25	0.1	her
16.35	0.31	duffel
16.66	0.42	bag
17.09	0.53	jacket
17.65	0.16	and
17.82	0.52	massive
18.34	0.44	luggage
18.8	0.16	that
18.96	0.44	squeaked
19.4	0.6	shrilly
20.0	0.07	as
20.07	0.21	she
20.28	0.32	tugged
20.6	0.1	it
20.7	0.16	through
20.86	0.12	the
20.98	0.43	airport
21.41	0.58	doors
22.51	0.5	Ryan
23.01	0.34	walked
23.38	0.65	reluctantly
24.03	0.34	toward
24.37	0.2	her
24.89	0.34	pulling
25.23	0.19	his
25.42	0.33	own
25.76	0.45	neatly
26.24	0.39	packed
26.66	0.35	carry
27.01	0.15	on
27.16	0.28	bag
27.44	0.4	behind
27.84	0.2	him
28.6	0.34	After
28.94	0.39	checking
29.33	0.42	Natalie's
29.77	0.43	bag
30.48	0.13	the
30.61	0.19	two
30.8	0.39	walked
31.22	0.23	toward
31.45	0.11	the
31.56	0.39	airport
31.95	0.46	security
32.41	0.54	lines
33.47	0.19	As
33.66	0.4	Natalie
34.07	0.49	struggled
34.59	0.21	to
34.8	0.58	extract
35.38	0.14	her
35.52	0.42	ID
35.97	0.13	from
36.1	0.1	the
36.2	0.34	bottom
36.54	0.12	of
36.67	0.11	her
36.78	0.33	duffel
37.11	0.4	bag
37.77	0.46	Ryan
38.23	0.42	scoped
38.66	0.18	out
38.85	0.1	the
38.95	0.34	different
39.3	0.35	line
39.65	0.63	choices
40.98	0.63	Bingo
42.12	0.83	Asians
43.46	0.16	He
43.62	0.38	motioned
44.02	0.22	toward
44.24	0.06	the
44.47	0.36	rightmost
44.84	0.26	line
45.1	0.13	with
45.23	0.17	his
45.4	0.41	chin
46.53	0.18	You
46.71	0.35	can't
47.07	0.16	be
47.23	0.67	serious
47.9	0.49	replied
48.39	0.5	Natalie
49.48	0.38	Ryan
49.86	0.61	shrugged
50.86	0.34	Look
51.22	0.17	at
51.39	0.14	the
51.53	0.28	other
51.81	0.44	lines
52.27	0.15	I
52.42	0.34	never
52.76	0.22	get
52.99	0.42	behind
53.44	0.28	people
53.73	0.47	traveling
54.2	0.13	with
54.34	0.57	infants
55.2	0.16	I've
55.37	0.32	never
55.69	0.4	seen
56.09	0.08	a
56.17	0.4	stroll
56.57	0.07	or
56.64	0.46	collapse
57.1	0.13	in
57.23	0.23	less
57.46	0.15	than
57.61	0.28	20
57.89	0.48	minutes
