onset	duration	stimulus
6.21	0.44	Vinnie
6.65	0.18	and
6.83	0.4	Mona
7.24	0.64	stumbled
7.88	0.73	Blieriied
8.62	0.23	into
8.85	0.07	a
8.92	0.43	dingy
9.35	0.34	looking
9.69	0.38	diner
10.57	0.14	The
10.71	0.35	place
11.06	0.15	was
11.22	0.53	deserted
11.76	0.32	saved
12.09	0.17	for
12.26	0.07	a
12.33	0.22	few
12.55	0.6	flies
13.19	0.55	lazily
13.74	0.51	circling
14.25	0.29	around
14.54	0.1	the
14.64	0.53	lamps
15.53	0.12	The
15.65	0.49	hostess
16.14	0.11	who
16.25	0.17	was
16.43	0.45	loudly
16.89	0.34	chewing
17.23	0.05	a
17.56	0.12	of
17.69	0.4	gum
18.44	0.36	pointed
18.8	0.26	toward
19.06	0.08	the
19.14	0.47	counter
20.8	0.22	'There
21.02	0.01	are
21.03	0.34	seats
21.37	0.07	at
21.45	0.12	the
21.57	0.44	counter
22.01	0.12	if
22.13	0.13	you
22.26	0.29	want
22.56	0.93	breakfast
24.28	0.51	'Thanks
24.8	0.33	said
25.16	0.28	Vinnie
25.44	0.14	and
25.58	0.09	they
25.67	0.22	took
25.89	0.15	their
26.04	0.33	seats
26.37	0.15	with
26.52	0.06	a
26.58	0.41	yawn
27.39	0.12	A
27.51	0.27	cook
27.79	0.36	wearing
28.15	0.06	a
28.21	0.26	white
28.5	0.43	apron
28.95	0.49	emerged
29.44	0.13	from
29.57	0.09	the
29.66	0.3	back
29.96	0.19	room
30.15	0.14	and
30.29	0.42	slapped
30.71	0.08	a
30.79	0.44	single
31.23	0.38	menu
31.61	0.23	down
31.84	0.13	in
31.97	0.15	front
32.12	0.11	of
32.23	0.16	them
32.39	0.3	before
32.69	0.52	silently
33.21	0.51	returning
33.72	0.15	through
33.87	0.12	the
33.99	0.4	swinging
34.39	0.48	doors
35.29	0.39	Mona
35.68	0.28	picked
35.96	0.09	it
36.05	0.2	up
36.25	0.15	and
36.44	0.3	Vinnie
36.74	0.23	looked
36.97	0.18	over
37.15	0.1	her
37.25	0.49	shoulder
38.21	0.17	On
38.38	0.09	the
38.47	0.3	menu
38.77	0.2	were
38.97	0.64	exactly
39.62	0.28	three
39.9	0.7	choices
40.93	0.76	Breakfast
41.7	0.13	for
42.42	0.38	199
43.15	0.72	lunch
43.89	0.23	for
44.13	0.79	249
44.95	0.34	or
45.3	0.49	dinner
46.12	0.22	for
46.35	0.95	349
47.75	0.34	Mona
48.09	0.36	tilted
48.45	0.11	her
48.56	0.21	head
48.78	0.26	back
49.04	0.17	and
49.21	0.27	forth
49.48	0.15	in
49.63	0.68	sarcastic
50.31	0.67	ambivalence
51.36	0.52	So
51.91	0.78	breakfast
53.12	0.23	You
53.35	0.49	think
53.91	0.51	replied
54.42	0.31	Vinnie
54.75	0.41	stroking
55.16	0.15	his
55.32	0.33	chin
56.54	0.17	The
56.71	0.3	cook
57.01	0.32	circled
57.34	0.23	back
57.57	0.11	to
57.68	0.09	the
57.77	0.42	counter
58.4	0.32	You
58.72	0.25	too
58.97	0.34	want
59.31	0.35	something
59.66	0.12	to
59.78	0.38	eat
61.33	0.21	Two
61.54	0.7	breakfasts
62.24	0.63	please
63.0	0.16	He
63.16	0.24	rubbed
63.4	0.18	his
63.58	0.24	eyes
63.82	0.09	as
63.91	0.11	he
64.05	0.3	passed
64.35	0.09	the
64.44	0.25	menu
64.69	0.08	to
64.77	0.12	the
64.89	0.35	cook
65.73	0.18	Can
65.91	0.11	I
66.02	0.28	ask
66.3	0.12	you
66.42	0.39	something
67.1	0.26	What's
67.4	0.12	the
67.52	0.45	story
67.97	0.14	with
68.11	0.18	this
68.31	0.79	incredibly
69.11	0.74	remarkably
69.85	0.31	loud
70.17	0.41	whistle
70.58	0.05	at
70.73	0.69	30
71.42	0.09	in
71.51	0.09	the
71.6	0.42	morning
72.78	0.14	The
72.92	0.28	cook's
73.24	0.34	eyes
73.61	0.51	narrowed
74.47	0.37	Clearly
74.84	0.24	these
75.08	0.21	two
75.29	0.2	were
75.49	0.24	from
75.76	0.18	out
75.94	0.15	of
76.09	0.42	town
77.08	0.25	It's
77.36	0.13	the
77.53	0.43	steam
77.96	0.43	whistle
78.39	0.31	over
78.7	0.17	by
78.87	0.15	the
79.02	0.63	sawmill
79.98	0.31	Tells
80.29	0.35	folks
80.64	0.17	it's
80.81	0.26	time
81.07	0.1	to
81.18	0.2	get
81.42	0.35	up
81.8	0.16	You
81.96	0.14	can
82.11	0.25	hear
82.36	0.12	it
82.49	0.18	for
82.67	0.94	miles
84.09	0.18	He
84.27	0.25	turned
84.52	0.15	his
84.67	0.33	back
85.04	0.24	toward
85.28	0.07	the
85.35	0.35	couple
85.7	0.1	to
85.8	0.31	face
86.11	0.09	the
86.2	0.37	griddle
86.58	0.19	where
86.77	0.43	several
87.2	0.39	strips
87.59	0.14	of
87.73	0.39	bacon
88.12	0.15	were
88.35	0.53	already
88.89	0.51	sizzling
89.98	0.43	Mona
90.41	0.45	watched
90.86	0.12	in
91.0	0.47	horror
91.47	0.18	as
91.65	0.16	he
92.37	0.01	spooned
92.38	0.01	a
92.4	0.63	massive
93.04	0.4	scoop
93.44	0.18	of
93.62	0.52	lard
94.15	0.31	onto
94.46	0.1	the
94.56	0.34	griddle
95.22	0.21	and
95.43	0.31	pushed
95.74	0.12	it
95.86	0.45	around
96.36	0.11	to
96.47	0.21	coat
96.7	0.13	the
96.83	0.64	surface
98.02	0.62	Excuse
98.66	0.27	me
99.37	0.26	said
99.63	0.27	Vinnie
99.9	0.11	and
100.01	0.07	the
100.08	0.23	cook
100.31	0.33	turned
100.64	0.08	to
100.72	0.21	him
100.93	0.82	suspiciously
102.29	0.12	Have
102.42	0.17	you
102.61	0.45	guys
103.17	0.41	around
103.59	0.26	here
103.88	0.3	not
104.18	0.37	heard
104.58	0.28	about
104.87	0.16	the
105.03	0.55	ongoing
105.58	0.7	cholesterol
106.28	0.4	problem
106.68	0.09	in
106.77	0.11	the
106.88	0.57	country
108.47	0.15	The
108.62	0.25	cook
108.88	0.28	looked
109.21	0.29	back
109.5	0.19	and
109.69	0.28	forth
109.97	0.09	at
110.07	0.29	both
110.36	0.1	of
110.46	0.22	them
110.94	0.33	pushed
111.27	0.14	his
111.41	0.3	lips
111.71	0.17	and
111.88	0.14	then
112.02	0.37	turned
112.4	0.24	back
112.64	0.1	to
112.74	0.11	the
112.85	0.36	griddle
113.22	0.47	shaking
113.69	0.11	his
113.8	0.31	head
114.29	0.19	in
114.48	0.86	disbelief
116.25	0.32	Mona
116.57	0.27	picked
116.84	0.08	at
116.92	0.12	her
117.04	0.48	nails
117.56	0.15	and
117.71	0.12	then
117.84	0.28	looked
118.12	0.21	over
118.33	0.08	at
118.41	0.32	Vinnie
119.57	0.25	You've
119.82	0.2	got
120.03	0.32	one
120.35	0.35	huge
120.71	0.88	responsibility
121.59	0.34	taken
121.93	0.13	on
122.06	0.22	this
122.28	0.34	murder
122.62	0.41	case
